시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,0.10,-0.40,0.00,0.00,14.47,0.00,0.00,"0.00"
00:15,0.10,-0.40,0.00,0.00,12.53,0.00,0.00,"0.00"
00:30,0.10,-0.42,0.00,0.00,11.53,0.00,0.00,"0.00"
00:45,0.10,-0.50,0.00,0.00,12.20,0.00,0.00,"0.00"
01:00,0.10,-0.50,0.00,0.00,10.37,0.00,0.00,"0.00"
01:15,0.10,-0.50,0.00,0.00,9.00,0.00,0.00,"0.00"
01:30,0.10,-0.50,0.00,0.00,9.00,0.00,0.00,"0.00"
01:45,0.10,-0.50,0.00,0.00,10.00,0.00,0.00,"0.00"
02:00,0.10,-0.50,0.00,0.00,9.73,0.00,0.00,"0.00"
02:15,0.07,-0.50,0.00,0.00,9.00,0.00,0.00,"0.00"
02:30,-0.04,-0.50,0.00,0.00,9.00,0.00,0.00,"0.00"
02:45,-0.10,-0.50,0.00,0.00,9.00,0.00,0.00,"0.00"
03:00,-0.12,-0.59,0.00,0.00,9.00,0.00,0.00,"0.00"
03:15,-0.27,-0.87,0.00,0.00,9.53,0.00,0.00,"0.00"
03:30,-0.54,-0.68,0.00,0.00,10.43,0.00,0.00,"0.00"
03:45,-1.02,-0.61,0.00,0.00,11.00,0.00,0.00,"0.00"
04:00,-1.17,-0.76,0.00,0.00,11.00,0.00,0.00,"0.00"
04:15,-1.20,-0.85,0.00,0.00,11.50,0.00,0.00,"0.00"
04:30,-1.20,-1.43,0.00,0.00,11.10,0.00,0.00,"0.00"
04:45,-1.32,-1.73,0.00,0.00,11.00,0.00,0.00,"0.00"
05:00,-1.50,-1.79,0.00,0.00,11.00,0.00,0.00,"0.00"
05:15,-1.69,-1.80,0.00,0.00,11.00,0.00,0.00,"0.00"
05:30,-1.70,-1.80,0.00,0.00,11.00,0.00,0.00,"0.00"
05:45,-1.79,-1.94,0.00,0.00,11.00,0.00,0.00,"0.00"
06:00,-1.80,-1.77,0.00,0.00,11.00,0.00,0.00,"0.00"
06:15,-1.83,-1.75,0.00,0.00,12.00,0.00,0.00,"0.00"
06:30,-1.90,-2.02,0.00,0.00,12.97,0.00,0.00,"0.00"
06:45,-1.90,-2.03,0.00,0.00,13.03,0.00,0.00,"0.00"
07:00,-1.90,-1.80,0.00,0.00,18.40,0.00,0.00,"0.00"
07:15,-1.90,-1.52,0.00,0.00,137.37,0.00,0.00,"0.00"
07:30,-1.90,-1.83,0.00,0.00,322.63,0.00,0.00,"0.00"
07:45,-1.90,-1.85,0.00,0.07,427.53,0.07,0.05,"0.00"
08:00,-1.55,-1.65,3.53,5.20,484.50,0.21,0.12,"0.00"
08:15,-0.44,-0.81,14.20,15.07,561.63,0.58,0.41,"0.00"
08:30,0.00,-0.60,25.47,24.53,601.47,1.09,0.73,"0.05"
08:45,1.07,-0.51,26.53,23.07,600.20,1.07,0.71,"0.33"
09:00,2.15,-0.05,34.53,24.60,614.33,1.10,0.76,"0.61"
09:15,2.37,0.00,22.00,12.67,588.40,0.67,0.49,"0.85"
09:30,2.64,0.30,8.33,3.27,525.63,0.17,0.11,"0.87"
09:45,2.65,0.34,13.53,7.33,558.37,0.32,0.21,"0.87"
10:00,2.70,0.60,17.87,10.87,581.63,0.61,0.45,"0.99"
10:15,2.70,0.73,13.47,7.87,526.37,0.29,0.18,"1.03"
10:30,3.06,1.31,15.60,11.33,589.93,0.31,0.20,"1.03"
10:45,3.70,1.94,15.60,10.87,547.77,0.49,0.31,"1.08"
11:00,3.87,2.00,16.67,10.20,541.73,0.57,0.39,"1.27"
11:15,3.91,2.00,9.07,4.47,553.53,0.15,0.09,"1.27"
11:30,3.86,2.00,0.53,0.00,556.53,0.03,0.04,"1.27"
11:45,3.17,2.00,0.47,0.00,572.67,0.01,0.02,"1.27"
12:00,2.90,2.00,0.08,0.00,545.23,0.02,0.02,"1.27"
12:15,2.90,2.00,0.00,0.00,552.93,0.00,0.00,"1.27"
12:30,2.75,1.35,0.47,0.00,572.50,0.03,0.02,"1.27"
12:45,2.50,1.35,4.47,1.40,575.83,0.05,0.04,"1.27"
13:00,2.70,2.00,7.73,2.73,581.13,0.07,0.04,"1.27"
13:15,2.70,2.00,14.93,7.33,564.73,0.21,0.12,"1.27"
13:30,3.55,2.00,16.47,8.53,550.83,0.49,0.31,"1.27"
13:45,2.91,2.00,6.47,2.13,539.57,0.11,0.06,"1.27"
14:00,2.90,1.65,6.40,1.73,611.60,0.03,0.02,"1.27"
14:15,2.88,1.04,6.40,1.40,589.37,0.07,0.05,"1.27"
14:30,2.73,1.06,7.13,2.13,560.20,0.08,0.04,"1.27"
14:45,2.73,1.79,20.20,10.47,595.43,0.32,0.19,"1.27"
15:00,3.82,2.00,42.40,24.73,606.97,1.26,0.85,"1.27"
15:15,3.98,2.00,52.53,30.80,613.30,1.59,1.03,"1.27"
15:30,4.71,2.01,77.80,59.33,616.20,2.70,1.73,"1.62"
15:45,4.73,2.12,44.20,27.00,612.07,1.37,0.92,"1.88"
16:00,4.27,2.69,19.87,9.93,581.50,0.40,0.28,"1.97"
16:15,4.07,2.24,11.33,4.27,587.03,0.09,0.04,"1.97"
16:30,3.03,2.19,3.93,0.40,579.70,0.05,0.03,"1.97"
16:45,2.90,1.81,0.00,0.00,574.57,0.01,0.01,"1.97"
17:00,2.59,0.99,0.00,0.00,566.50,0.00,0.00,"1.97"
17:15,2.50,1.44,0.00,0.00,518.80,0.00,0.00,"1.97"
17:30,2.49,0.99,0.00,0.00,363.70,0.00,0.00,"1.97"
17:45,2.20,0.80,0.00,0.00,217.17,0.00,0.00,"1.97"
18:00,2.06,0.80,0.00,0.00,77.97,0.00,0.00,"1.97"
18:15,2.08,0.80,0.00,0.00,58.27,0.00,0.00,"1.97"
18:30,1.71,0.80,0.00,0.00,53.37,0.00,0.00,"1.97"
18:45,1.50,0.36,0.00,0.00,52.17,0.00,0.00,"1.97"
19:00,1.35,0.01,0.00,0.00,50.60,0.00,0.00,"1.97"
19:15,0.82,-0.33,0.00,0.00,48.00,0.00,0.00,"1.97"
19:30,0.16,-0.40,0.00,0.00,45.37,0.00,0.00,"1.97"
19:45,0.10,-0.40,0.00,0.00,46.47,0.00,0.00,"1.97"
20:00,0.10,-0.40,0.00,0.00,47.63,0.00,0.00,"1.97"
20:15,0.10,-0.42,0.00,0.00,47.13,0.00,0.00,"1.97"
20:30,0.10,-0.50,0.00,0.00,46.30,0.00,0.00,"1.97"
20:45,0.10,-0.61,0.00,0.00,44.97,0.00,0.00,"1.97"
21:00,-0.55,-1.53,0.00,0.00,42.17,0.00,0.00,"1.97"
21:15,-1.50,-1.88,0.00,0.00,41.77,0.00,0.00,"1.97"
21:30,-1.70,-2.29,0.00,0.00,40.87,0.00,0.00,"1.97"
21:45,-1.89,-2.54,0.00,0.00,39.17,0.00,0.00,"1.97"
22:00,-2.41,-2.95,0.00,0.00,37.77,0.00,0.00,"1.97"
22:15,-2.60,-3.19,0.00,0.00,36.20,0.00,0.00,"1.97"
22:30,-2.60,-3.20,0.00,0.00,36.23,0.00,0.00,"1.97"
22:45,-2.60,-3.20,0.00,0.00,35.23,0.00,0.00,"1.97"
23:00,-2.63,-3.20,0.00,0.00,21.77,0.00,0.00,"1.97"
23:15,-2.88,-3.20,0.00,0.00,16.83,0.00,0.00,"1.97"
23:30,-3.01,-3.20,0.00,0.00,15.87,0.00,0.00,"1.97"
23:45,-3.65,-3.25,0.00,0.00,14.10,0.00,0.00,"1.97"
