시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,16.80,15.00,0.00,0.00,9.20,0.00,0.00,"0.00"
00:15,16.80,14.99,0.00,0.00,9.00,0.00,0.00,"0.00"
00:30,16.80,15.00,0.00,0.00,8.67,0.00,0.00,"0.00"
00:45,16.80,15.00,0.00,0.00,8.00,0.00,0.00,"0.00"
01:00,16.79,15.00,0.00,0.00,7.77,0.00,0.00,"0.00"
01:15,16.70,15.00,0.00,0.00,7.50,0.00,0.00,"0.00"
01:30,16.70,15.00,0.00,0.00,7.83,0.00,0.00,"0.00"
01:45,16.65,15.00,0.00,0.00,7.53,0.00,0.00,"0.00"
02:00,16.60,15.00,0.00,0.00,7.00,0.00,0.00,"0.00"
02:15,16.60,14.98,0.00,0.00,7.00,0.00,0.00,"0.00"
02:30,16.53,14.95,0.00,0.00,7.00,0.00,0.00,"0.00"
02:45,16.43,14.84,0.00,0.00,6.40,0.00,0.00,"0.00"
03:00,16.10,14.53,0.00,0.00,6.00,0.00,0.00,"0.00"
03:15,15.93,14.53,0.00,0.00,6.57,0.00,0.00,"0.00"
03:30,15.90,14.50,0.00,0.00,10.03,0.00,0.00,"0.00"
03:45,15.81,14.50,0.00,0.00,8.23,0.00,0.00,"0.00"
04:00,15.80,14.50,0.00,0.00,9.00,0.00,0.00,"0.00"
04:15,15.80,14.50,0.00,0.00,8.00,0.00,0.00,"0.00"
04:30,15.80,14.50,0.00,0.00,8.03,0.00,0.00,"0.00"
04:45,15.70,14.45,0.00,0.00,8.90,0.00,0.00,"0.00"
05:00,15.57,14.40,0.00,0.00,9.00,0.00,0.00,"0.00"
05:15,15.40,14.33,0.00,0.00,9.70,0.00,0.00,"0.00"
05:30,15.25,14.30,0.00,0.00,9.07,0.00,0.00,"0.00"
05:45,15.20,14.23,0.00,0.00,8.13,0.00,0.00,"0.00"
06:00,15.11,13.89,0.00,0.00,7.43,0.00,0.00,"0.00"
06:15,14.42,13.54,0.00,0.00,6.40,0.00,0.00,"0.00"
06:30,13.77,13.10,0.00,0.00,23.50,0.00,0.00,"0.00"
06:45,13.23,12.81,0.00,0.00,220.00,0.00,0.00,"0.00"
07:00,13.10,12.41,0.00,0.00,340.63,0.00,0.00,"0.00"
07:15,13.10,12.40,0.07,0.20,430.67,0.05,0.04,"0.00"
07:30,13.10,12.40,3.33,5.13,455.53,0.27,0.13,"0.00"
07:45,13.37,12.41,8.13,11.20,541.87,0.47,0.29,"0.00"
08:00,13.60,12.83,11.87,17.27,591.50,0.83,0.57,"0.00"
08:15,13.66,12.94,14.73,23.53,603.73,1.03,0.68,"0.14"
08:30,14.45,13.44,18.13,31.73,586.70,1.37,0.87,"0.35"
08:45,14.96,13.67,20.80,40.93,595.43,1.69,1.08,"0.60"
09:00,15.46,14.27,23.47,50.27,596.90,2.08,1.29,"0.88"
09:15,16.19,14.54,29.20,58.73,600.30,2.37,1.50,"1.19"
09:30,16.68,14.95,32.80,65.33,606.00,2.77,1.72,"1.56"
09:45,17.13,15.25,39.13,70.93,601.00,3.08,1.92,"1.97"
10:00,17.63,15.86,40.80,76.13,600.60,3.24,2.02,"2.40"
10:15,18.04,18.09,266.67,83.20,599.13,3.12,1.97,"2.82"
10:30,18.87,19.76,435.20,104.67,603.50,3.75,2.35,"3.32"
10:45,20.55,20.10,476.33,140.53,605.40,5.35,3.31,"4.03"
11:00,22.27,20.12,470.13,189.00,602.80,7.49,4.58,"5.06"
11:15,24.35,20.99,491.73,243.80,604.57,9.43,5.75,"6.37"
11:30,26.69,21.46,542.00,305.07,600.87,11.71,7.10,"8.01"
11:45,29.51,22.75,568.87,367.93,600.40,13.63,8.24,"9.93"
12:00,32.44,23.38,565.86,428.86,592.71,15.65,9.33,"12.12"
12:15,34.56,22.93,550.40,485.07,583.67,17.88,10.49,"14.59"
12:30,36.87,23.95,516.53,526.07,584.47,18.89,11.12,"17.22"
12:45,39.43,25.19,495.53,574.73,572.17,21.17,12.19,"20.11"
13:00,41.47,25.15,474.00,610.47,567.93,22.28,12.72,"23.13"
13:15,43.77,25.45,463.53,658.47,566.43,23.72,13.51,"26.35"
13:30,44.73,26.27,443.60,694.80,561.13,24.85,14.00,"29.68"
13:45,46.55,26.29,428.00,738.33,558.47,26.36,14.78,"33.20"
14:00,48.87,26.73,417.73,793.00,549.67,28.45,15.69,"36.94"
14:15,49.08,25.81,388.13,809.47,547.80,28.89,15.89,"40.75"
14:30,49.09,26.65,349.07,799.00,537.93,28.81,15.55,"44.46"
14:45,50.58,27.20,324.87,819.73,546.60,29.07,15.94,"48.26"
15:00,51.05,27.03,289.33,813.13,544.87,28.83,15.76,"52.04"
15:15,50.67,27.49,247.47,751.87,551.93,25.36,14.06,"55.40"
15:30,48.49,26.89,204.33,716.93,557.93,22.95,12.85,"58.45"
15:45,47.39,25.62,167.53,673.33,563.40,19.87,11.26,"61.13"
16:00,45.66,25.62,132.40,621.60,563.67,15.80,8.98,"63.25"
16:15,43.43,24.57,97.60,544.40,570.63,10.48,6.05,"64.65"
16:30,40.79,24.83,60.60,410.93,573.80,5.43,3.18,"65.35"
16:45,36.79,22.89,28.47,207.93,569.00,1.96,1.19,"65.63"
17:00,29.43,20.70,4.60,18.73,545.70,0.53,0.34,"65.75"
17:15,24.76,19.37,0.00,1.07,501.57,0.05,0.03,"65.75"
17:30,22.22,18.51,0.00,0.00,441.97,0.00,0.00,"65.75"
17:45,20.67,17.65,0.00,0.00,213.40,0.00,0.00,"65.75"
18:00,19.73,16.89,0.00,0.00,61.43,0.00,0.00,"65.75"
18:15,18.85,16.43,0.00,0.00,41.10,0.00,0.00,"65.75"
18:30,18.55,15.94,0.00,0.00,38.03,0.00,0.00,"65.75"
18:45,18.27,15.91,0.00,0.00,36.00,0.00,0.00,"65.75"
19:00,17.91,15.73,0.00,0.00,36.13,0.00,0.00,"65.75"
19:15,17.60,15.35,0.00,0.00,36.53,0.00,0.00,"65.75"
19:30,17.37,15.20,0.00,0.00,36.57,0.00,0.00,"65.75"
19:45,17.14,15.20,0.00,0.00,36.00,0.00,0.00,"65.75"
20:00,16.79,15.12,0.00,0.00,41.20,0.00,0.00,"65.75"
20:15,16.52,14.82,0.00,0.00,38.43,0.00,0.00,"65.75"
20:30,16.08,14.55,0.00,0.00,37.50,0.00,0.00,"65.75"
20:45,15.87,14.50,0.00,0.00,37.00,0.00,0.00,"65.75"
21:00,15.80,14.47,0.00,0.00,38.47,0.00,0.00,"65.75"
21:15,15.56,14.36,0.00,0.00,35.67,0.00,0.00,"65.75"
21:30,15.16,14.30,0.00,0.00,34.10,0.00,0.00,"65.75"
21:45,15.03,13.97,0.00,0.00,31.37,0.00,0.00,"65.75"
22:00,14.85,13.67,0.00,0.00,31.00,0.00,0.00,"65.75"
22:15,14.51,13.55,0.00,0.00,29.83,0.00,0.00,"65.75"
22:30,14.50,13.28,0.00,0.00,17.93,0.00,0.00,"65.75"
22:45,14.27,13.09,0.00,0.00,14.03,0.00,0.00,"65.75"
23:00,13.81,12.74,0.00,0.00,13.50,0.00,0.00,"65.75"
23:15,13.75,12.40,0.00,0.00,12.00,0.00,0.00,"65.75"
23:30,13.55,12.40,0.00,0.00,11.83,0.00,0.00,"65.75"
23:45,13.13,12.09,0.00,0.00,11.50,0.00,0.00,"65.75"
