시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,5.70,5.60,0.00,0.00,13.10,0.00,0.00,"0.00"
00:15,5.70,5.60,0.00,0.00,11.33,0.00,0.00,"0.00"
00:30,5.70,5.60,0.00,0.00,9.53,0.00,0.00,"0.00"
00:45,5.70,5.49,0.00,0.00,9.13,0.00,0.00,"0.00"
01:00,5.70,5.04,0.00,0.00,9.00,0.00,0.00,"0.00"
01:15,5.65,5.05,0.00,0.00,8.10,0.00,0.00,"0.00"
01:30,5.31,5.00,0.00,0.00,8.00,0.00,0.00,"0.00"
01:45,4.77,5.00,0.00,0.00,8.00,0.00,0.00,"0.00"
02:00,4.35,4.94,0.00,0.00,8.00,0.00,0.00,"0.00"
02:15,4.30,4.73,0.00,0.00,8.87,0.00,0.00,"0.00"
02:30,4.30,4.60,0.00,0.00,8.00,0.00,0.00,"0.00"
02:45,4.30,4.60,0.00,0.00,8.27,0.00,0.00,"0.00"
03:00,4.22,4.38,0.00,0.00,8.60,0.00,0.00,"0.00"
03:15,4.20,3.82,0.00,0.00,9.00,0.00,0.00,"0.00"
03:30,4.20,3.63,0.00,0.00,10.47,0.00,0.00,"0.00"
03:45,4.20,3.85,0.00,0.00,14.27,0.00,0.00,"0.00"
04:00,4.20,4.07,0.00,0.00,12.80,0.00,0.00,"0.00"
04:15,4.20,3.83,0.00,0.00,11.57,0.00,0.00,"0.00"
04:30,4.20,3.71,0.00,0.00,12.00,0.00,0.00,"0.00"
04:45,4.20,3.60,0.00,0.00,13.57,0.00,0.00,"0.00"
05:00,4.20,3.60,0.00,0.00,12.90,0.00,0.00,"0.00"
05:15,4.20,3.60,0.00,0.00,12.50,0.00,0.00,"0.00"
05:30,4.20,3.60,0.00,0.00,13.40,0.00,0.00,"0.00"
05:45,4.20,3.60,0.00,0.00,12.97,0.00,0.00,"0.00"
06:00,4.20,3.71,0.00,0.00,13.43,0.00,0.00,"0.00"
06:15,4.20,3.61,0.00,0.00,13.07,0.00,0.00,"0.00"
06:30,4.20,3.60,0.00,0.00,21.33,0.00,0.00,"0.00"
06:45,4.20,3.60,0.00,0.00,178.77,0.00,0.00,"0.00"
07:00,4.20,3.92,0.00,0.00,312.50,0.00,0.00,"0.00"
07:15,4.20,4.32,0.40,0.00,442.60,0.02,0.04,"0.00"
07:30,4.54,4.59,6.27,2.13,456.80,0.15,0.11,"0.00"
07:45,5.36,4.79,16.00,8.67,510.30,0.31,0.14,"0.00"
08:00,5.50,4.80,21.07,12.00,548.23,0.60,0.40,"0.00"
08:15,5.50,4.80,27.67,16.93,597.07,0.85,0.60,"0.00"
08:30,5.81,4.80,34.07,21.27,600.87,1.07,0.72,"0.04"
08:45,6.17,4.93,41.60,27.13,605.87,1.31,0.87,"0.26"
09:00,6.81,5.54,61.47,41.60,605.17,1.94,1.24,"0.53"
09:15,9.29,5.89,102.27,71.40,609.60,3.15,1.97,"0.95"
09:30,9.66,6.87,101.73,69.73,617.03,3.02,1.92,"1.38"
09:45,10.29,7.34,105.47,70.87,609.97,3.07,1.98,"1.80"
10:00,10.80,7.44,106.60,71.00,613.13,3.09,1.98,"2.22"
10:15,11.03,7.56,107.40,72.00,611.30,3.09,2.00,"2.65"
10:30,11.25,7.63,114.27,76.13,614.57,3.28,2.12,"3.09"
10:45,12.27,7.87,127.80,84.60,613.20,3.69,2.34,"3.59"
11:00,12.88,8.47,134.60,90.40,615.30,3.92,2.45,"4.12"
11:15,13.45,8.58,139.33,93.53,614.20,4.03,2.52,"4.66"
11:30,13.13,8.17,136.93,91.13,617.03,3.95,2.46,"5.20"
11:45,12.11,8.99,116.73,79.13,617.00,3.36,2.15,"5.66"
12:00,11.99,9.10,128.33,86.80,617.20,3.73,2.36,"6.16"
12:15,12.66,8.62,128.00,84.67,614.47,3.67,2.31,"6.66"
12:30,12.07,8.59,122.53,82.67,614.30,3.56,2.27,"7.14"
12:45,12.61,9.54,140.87,97.20,614.97,4.17,2.59,"7.69"
13:00,14.69,9.61,206.20,145.93,620.67,6.07,3.83,"8.53"
13:15,15.48,10.01,251.73,185.47,622.00,7.64,4.81,"9.62"
13:30,16.29,11.08,240.93,179.33,617.57,7.41,4.66,"10.68"
13:45,16.09,10.83,192.13,139.67,615.27,5.79,3.61,"11.47"
14:00,16.45,11.60,191.93,139.93,615.87,5.78,3.63,"12.27"
14:15,16.42,10.71,191.27,141.40,615.50,5.81,3.67,"13.08"
14:30,16.51,10.70,211.60,169.93,616.57,6.95,4.35,"14.04"
14:45,17.08,11.27,228.67,207.00,618.57,8.35,5.26,"15.24"
15:00,17.52,11.44,242.13,241.00,618.70,9.57,6.00,"16.60"
15:15,19.85,12.54,261.87,301.40,618.63,11.69,7.32,"18.30"
15:30,22.28,12.73,282.00,368.33,620.00,13.96,8.73,"20.35"
15:45,22.61,12.90,250.20,354.13,617.87,13.30,8.28,"22.27"
16:00,24.20,13.03,256.13,425.33,613.80,15.71,9.70,"24.56"
16:15,23.47,12.52,191.67,318.27,615.27,11.43,7.08,"26.19"
16:30,22.91,12.76,176.73,332.67,611.70,11.27,6.94,"27.80"
16:45,22.48,12.63,131.67,250.33,611.23,8.09,5.00,"28.95"
17:00,18.67,11.07,78.33,105.60,605.73,3.83,2.38,"29.47"
17:15,15.83,10.47,57.67,57.40,596.03,2.35,1.47,"29.79"
