시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,29.70,29.49,0.00,0.00,3.63,0.00,0.00,"0.00"
00:15,29.70,29.35,0.00,0.00,3.53,0.00,0.00,"0.00"
00:30,29.70,29.25,0.00,0.00,3.20,0.00,0.00,"0.00"
00:45,29.70,29.33,0.00,0.00,3.67,0.00,0.00,"0.00"
01:00,29.70,29.33,0.00,0.00,3.00,0.00,0.00,"0.00"
01:15,29.70,29.05,0.00,0.00,3.00,0.00,0.00,"0.00"
01:30,29.70,28.97,0.00,0.00,3.37,0.00,0.00,"0.00"
01:45,29.70,28.90,0.00,0.00,5.33,0.00,0.00,"0.00"
02:00,29.64,28.90,0.00,0.00,3.67,0.00,0.00,"0.00"
02:15,29.60,28.90,0.00,0.00,3.33,0.00,0.00,"0.00"
02:30,29.35,28.90,0.00,0.00,2.67,0.00,0.00,"0.00"
02:45,29.12,28.90,0.00,0.00,3.00,0.00,0.00,"0.00"
03:00,29.14,28.90,0.00,0.00,3.47,0.00,0.00,"0.00"
03:15,29.15,28.90,0.00,0.00,3.80,0.00,0.00,"0.00"
03:30,29.19,28.90,0.00,0.00,3.90,0.00,0.00,"0.00"
03:45,29.17,28.90,0.00,0.00,5.60,0.00,0.00,"0.00"
04:00,29.05,28.90,0.00,0.00,4.23,0.00,0.00,"0.00"
04:15,29.00,28.90,0.00,0.00,3.83,0.00,0.00,"0.00"
04:30,29.00,28.90,0.00,0.00,4.00,0.00,0.00,"0.00"
04:45,29.00,28.90,0.00,0.00,3.47,0.00,0.00,"0.00"
05:00,29.00,28.90,0.00,0.00,9.27,0.00,0.00,"0.00"
05:15,29.00,28.90,0.00,0.00,106.00,0.00,0.00,"0.00"
05:30,29.00,28.90,0.00,0.00,282.83,0.00,0.00,"0.00"
05:45,29.00,28.90,0.00,0.00,310.73,0.00,0.00,"0.00"
06:00,29.00,28.90,0.00,0.00,389.10,0.00,0.00,"0.00"
06:15,29.03,28.90,2.47,0.33,482.10,0.06,0.04,"0.00"
06:30,29.43,28.90,11.93,6.40,445.47,0.26,0.13,"0.00"
06:45,29.96,29.08,32.47,20.73,526.13,0.87,0.52,"0.00"
07:00,29.99,29.25,25.00,14.33,524.23,0.64,0.41,"0.00"
07:15,29.71,29.14,12.80,7.13,481.63,0.19,0.09,"0.00"
07:30,29.71,29.16,14.60,8.00,486.07,0.23,0.10,"0.00"
07:45,29.96,29.27,25.80,13.13,486.00,0.35,0.16,"0.00"
08:00,29.97,29.39,22.80,13.93,535.37,0.45,0.25,"0.00"
08:15,30.89,29.56,61.80,38.00,555.20,1.67,0.98,"0.12"
08:30,30.42,29.63,21.00,13.07,518.63,0.39,0.23,"0.20"
08:45,30.14,29.50,24.67,16.60,528.73,0.65,0.40,"0.31"
09:00,30.19,29.50,29.47,18.27,537.33,0.86,0.54,"0.50"
09:15,30.06,29.50,30.53,19.47,542.00,0.92,0.56,"0.70"
09:30,30.01,29.49,39.40,26.80,545.73,1.19,0.72,"0.90"
09:45,30.20,29.46,45.93,31.87,556.00,1.33,0.82,"1.12"
10:00,30.20,29.55,34.47,21.40,544.13,1.00,0.61,"1.32"
10:15,29.87,29.51,28.07,18.33,541.87,0.87,0.54,"1.51"
10:30,29.70,29.50,28.87,19.13,540.80,0.88,0.56,"1.71"
10:45,29.70,29.49,27.87,18.07,544.13,0.83,0.54,"1.90"
11:00,29.92,29.50,37.73,24.00,548.13,1.09,0.67,"2.10"
11:15,30.17,29.50,35.53,23.67,549.73,1.09,0.67,"2.31"
11:30,30.31,29.56,47.27,32.93,553.17,1.48,0.87,"2.53"
11:45,30.26,29.56,33.40,25.07,548.63,1.09,0.67,"2.73"
12:00,30.21,29.51,50.27,36.33,557.43,1.54,0.93,"2.96"
12:15,30.63,29.70,50.80,35.40,552.87,1.53,0.91,"3.19"
12:30,30.48,29.65,43.73,28.53,548.37,1.27,0.77,"3.41"
12:45,30.23,29.65,27.80,18.33,544.80,0.85,0.53,"3.60"
13:00,30.14,29.65,27.93,19.27,543.60,0.87,0.55,"3.80"
13:15,30.11,29.63,27.73,18.80,541.73,0.87,0.54,"3.99"
13:30,30.09,29.63,23.00,15.27,537.60,0.76,0.48,"4.18"
13:45,30.29,29.60,27.87,18.20,526.13,0.92,0.54,"4.37"
14:00,30.25,29.58,40.40,26.87,550.77,1.21,0.73,"4.58"
14:15,30.09,29.57,26.73,17.40,516.23,0.79,0.47,"4.75"
14:30,30.04,29.48,20.20,12.80,527.87,0.23,0.10,"4.75"
14:45,30.37,29.50,40.87,27.20,536.13,1.22,0.73,"4.92"
15:00,30.19,29.50,39.07,26.13,547.07,1.17,0.71,"5.13"
15:15,30.03,29.50,44.20,28.60,551.97,1.28,0.76,"5.34"
15:30,30.47,29.67,37.33,24.73,542.50,1.11,0.67,"5.55"
15:45,30.26,29.63,25.73,14.93,529.70,0.59,0.35,"5.67"
16:00,30.20,29.60,16.73,10.07,524.53,0.19,0.09,"5.68"
16:15,30.63,29.61,41.73,27.80,557.40,1.01,0.58,"5.78"
16:30,30.31,29.53,39.33,24.60,543.67,1.17,0.68,"5.99"
16:45,29.74,29.16,17.27,8.87,525.90,0.27,0.16,"6.04"
17:00,29.70,28.90,9.73,5.20,541.83,0.07,0.04,"6.04"
17:15,29.70,28.94,12.73,7.33,532.27,0.12,0.06,"6.04"
17:30,29.67,28.95,11.93,6.60,533.30,0.12,0.06,"6.04"
17:45,29.60,29.09,16.20,8.13,528.33,0.15,0.05,"6.04"
18:00,29.60,29.20,17.00,8.27,510.10,0.17,0.07,"6.04"
18:15,29.59,29.03,2.53,0.27,545.17,0.01,0.02,"6.04"
18:30,29.27,29.13,0.20,0.00,516.27,0.00,0.01,"6.04"
18:45,29.02,29.01,0.33,0.00,539.13,0.00,0.00,"6.04"
19:00,29.00,28.97,0.00,0.00,512.10,0.00,0.00,"6.04"
19:15,28.91,28.93,0.00,0.00,482.10,0.00,0.00,"6.04"
19:30,28.71,28.90,0.00,0.00,393.00,0.00,0.00,"6.04"
19:45,28.47,28.90,0.00,0.00,195.87,0.00,0.00,"6.04"
20:00,28.40,28.90,0.00,0.00,58.30,0.00,0.00,"6.04"
20:15,28.36,28.90,0.00,0.00,28.30,0.00,0.00,"6.04"
20:30,28.31,28.90,0.00,0.00,25.60,0.00,0.00,"6.04"
20:45,28.30,28.90,0.00,0.00,26.10,0.00,0.00,"6.04"
21:00,28.30,28.90,0.00,0.00,24.30,0.00,0.00,"6.04"
21:15,28.30,28.90,0.00,0.00,23.33,0.00,0.00,"6.04"
21:30,28.30,28.90,0.00,0.00,22.73,0.00,0.00,"6.04"
21:45,28.30,28.90,0.00,0.00,21.03,0.00,0.00,"6.04"
22:00,28.30,28.90,0.00,0.00,20.40,0.00,0.00,"6.04"
22:15,28.30,28.87,0.00,0.00,18.77,0.00,0.00,"6.04"
22:30,28.30,28.74,0.00,0.00,15.37,0.00,0.00,"6.04"
22:45,28.30,28.64,0.00,0.00,9.60,0.00,0.00,"6.04"
23:00,28.30,28.44,0.00,0.00,8.93,0.00,0.00,"6.04"
23:15,28.30,28.30,0.00,0.00,8.20,0.00,0.00,"6.04"
23:30,28.30,28.30,0.00,0.00,7.00,0.00,0.00,"6.04"
23:45,28.30,28.30,0.00,0.00,6.47,0.00,0.00,"6.04"
