시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,30.39,28.90,0.00,0.00,4.77,0.00,0.00,"0.00"
00:15,30.25,28.90,0.00,0.00,4.03,0.00,0.00,"0.00"
00:30,30.07,28.90,0.00,0.00,3.70,0.00,0.00,"0.00"
00:45,29.83,28.90,0.00,0.00,4.13,0.00,0.00,"0.00"
01:00,29.72,28.90,0.00,0.00,3.60,0.00,0.00,"0.00"
01:15,29.70,28.67,0.00,0.00,3.17,0.00,0.00,"0.00"
01:30,29.70,28.37,0.00,0.00,3.00,0.00,0.00,"0.00"
01:45,29.66,28.23,0.00,0.00,3.37,0.00,0.00,"0.00"
02:00,29.60,28.32,0.00,0.00,4.00,0.00,0.00,"0.00"
02:15,29.60,28.48,0.00,0.00,4.00,0.00,0.00,"0.00"
02:30,29.56,28.49,0.00,0.00,3.40,0.00,0.00,"0.00"
02:45,29.34,28.60,0.00,0.00,3.30,0.00,0.00,"0.00"
03:00,29.42,28.61,0.00,0.00,3.73,0.00,0.00,"0.00"
03:15,29.09,28.42,0.00,0.00,3.13,0.00,0.00,"0.00"
03:30,28.87,28.23,0.00,0.00,3.00,0.00,0.00,"0.00"
03:45,28.57,27.95,0.00,0.00,3.20,0.00,0.00,"0.00"
04:00,28.68,27.75,0.00,0.00,4.03,0.00,0.00,"0.00"
04:15,28.81,27.97,0.00,0.00,4.20,0.00,0.00,"0.00"
04:30,28.90,27.89,0.00,0.00,4.00,0.00,0.00,"0.00"
04:45,28.90,27.86,0.00,0.00,4.33,0.00,0.00,"0.00"
05:00,28.90,27.66,0.00,0.00,5.60,0.00,0.00,"0.00"
05:15,28.88,27.73,0.00,0.00,4.57,0.00,0.00,"0.00"
05:30,28.61,27.60,0.00,0.00,21.13,0.00,0.00,"0.00"
05:45,28.49,27.60,0.00,0.00,212.23,0.00,0.00,"0.00"
06:00,28.37,27.60,0.00,0.00,317.23,0.00,0.00,"0.00"
