시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,15.20,14.91,0.00,0.00,7.00,0.00,0.00,"0.00"
00:15,15.20,14.73,0.00,0.00,7.00,0.00,0.00,"0.00"
00:30,15.13,14.59,0.00,0.00,6.43,0.00,0.00,"0.00"
00:45,15.05,14.70,0.00,0.00,6.00,0.00,0.00,"0.00"
01:00,14.91,14.45,0.00,0.00,6.00,0.00,0.00,"0.00"
01:15,14.55,14.40,0.00,0.00,6.10,0.00,0.00,"0.00"
01:30,14.50,14.39,0.00,0.00,6.03,0.00,0.00,"0.00"
01:45,14.24,14.23,0.00,0.00,6.00,0.00,0.00,"0.00"
02:00,13.80,13.89,0.00,0.00,6.00,0.00,0.00,"0.00"
02:15,13.72,13.71,0.00,0.00,6.00,0.00,0.00,"0.00"
02:30,13.45,13.35,0.00,0.00,6.87,0.00,0.00,"0.00"
02:45,13.18,13.10,0.00,0.00,5.00,0.00,0.00,"0.00"
03:00,13.10,13.10,0.00,0.00,5.70,0.00,0.00,"0.00"
03:15,13.10,13.05,0.00,0.00,6.00,0.00,0.00,"0.00"
03:30,13.10,13.02,0.00,0.00,6.33,0.00,0.00,"0.00"
03:45,13.10,13.30,0.00,0.00,6.80,0.00,0.00,"0.00"
04:00,13.06,13.10,0.00,0.00,6.00,0.00,0.00,"0.00"
04:15,12.83,13.10,0.00,0.00,6.00,0.00,0.00,"0.00"
04:30,12.42,12.94,0.00,0.00,10.27,0.00,0.00,"0.00"
04:45,12.40,12.45,0.00,0.00,6.10,0.00,0.00,"0.00"
05:00,12.35,12.51,0.00,0.00,6.00,0.00,0.00,"0.00"
05:15,12.13,12.40,0.00,0.00,6.00,0.00,0.00,"0.00"
05:30,12.05,12.40,0.00,0.00,6.63,0.00,0.00,"0.00"
05:45,12.00,12.40,0.00,0.00,5.87,0.00,0.00,"0.00"
06:00,12.00,12.44,0.00,0.00,5.20,0.00,0.00,"0.00"
06:15,11.97,12.41,0.00,0.00,19.07,0.00,0.00,"0.00"
06:30,11.85,12.40,0.00,0.00,211.70,0.00,0.00,"0.00"
06:45,11.81,12.40,0.00,0.00,371.53,0.00,0.00,"0.00"
07:00,11.94,12.40,0.00,0.53,423.30,0.13,0.10,"0.00"
07:15,12.23,12.40,1.73,3.93,484.33,0.23,0.11,"0.00"
07:30,12.84,12.65,4.53,8.73,474.50,0.35,0.17,"0.00"
07:45,13.15,12.97,7.07,14.27,544.93,0.61,0.39,"0.00"
08:00,13.80,13.86,9.13,20.00,582.50,0.86,0.59,"0.00"
08:15,14.60,14.37,11.07,29.67,588.40,1.18,0.77,"0.09"
08:30,15.07,14.95,13.00,41.33,595.57,1.53,1.00,"0.33"
08:45,15.92,15.42,16.53,51.73,597.80,1.97,1.22,"0.59"
09:00,16.82,16.14,16.67,57.27,597.23,2.22,1.39,"0.89"
09:15,17.69,16.72,17.47,61.27,594.53,2.60,1.61,"1.24"
09:30,18.57,17.39,19.07,62.93,594.23,2.81,1.74,"1.61"
09:45,19.23,17.97,21.20,63.60,594.23,2.97,1.79,"1.99"
10:00,19.89,18.84,23.60,66.07,593.37,3.00,1.84,"2.38"
10:15,20.25,20.55,97.60,72.67,590.17,3.07,1.89,"2.78"
10:30,21.13,22.55,501.13,89.07,596.47,3.11,1.94,"3.19"
10:45,22.09,23.61,597.93,119.27,607.57,4.29,2.66,"3.76"
11:00,24.39,23.83,610.07,163.00,592.40,6.23,3.75,"4.58"
11:15,26.62,24.18,593.53,216.40,596.43,8.23,4.97,"5.70"
11:30,29.03,24.76,602.40,274.00,601.33,9.94,6.05,"7.09"
11:45,31.77,25.41,641.00,336.07,594.27,11.87,7.09,"8.72"
12:00,34.24,25.07,675.00,399.54,579.54,14.14,8.26,"10.64"
12:15,36.50,25.13,668.67,461.47,578.83,15.95,9.30,"12.82"
12:30,39.90,26.62,647.33,521.73,578.53,17.13,9.97,"15.16"
12:45,43.05,27.02,628.40,584.60,574.23,18.89,10.91,"17.73"
13:00,45.70,27.39,616.60,646.73,568.80,20.82,11.90,"20.54"
13:15,48.82,28.67,601.67,704.27,561.60,22.54,12.70,"23.55"
13:30,50.48,27.55,583.27,754.87,556.27,24.07,13.44,"26.74"
13:45,52.05,27.73,556.40,798.40,543.43,25.88,14.10,"30.10"
14:00,54.17,29.35,530.93,840.60,521.17,28.55,14.93,"33.64"
14:15,56.36,29.54,502.27,877.53,514.73,30.13,15.55,"37.35"
14:30,57.84,31.27,468.20,905.07,517.57,31.08,16.15,"41.20"
14:45,59.47,31.70,431.27,926.20,511.73,31.66,16.26,"45.07"
15:00,60.34,32.92,390.80,935.13,517.73,31.97,16.60,"49.03"
15:15,60.81,35.13,349.47,937.93,519.30,31.83,16.59,"52.99"
15:30,60.53,32.31,305.93,928.07,517.47,30.62,15.90,"56.79"
15:45,59.29,32.61,260.07,891.60,515.47,29.05,15.03,"60.39"
16:00,58.56,32.28,217.20,853.00,526.13,24.73,13.07,"63.50"
16:15,57.44,31.32,168.47,794.47,533.60,19.60,10.53,"65.99"
16:30,55.69,31.17,125.53,717.27,534.37,14.06,7.59,"67.77"
16:45,52.30,29.78,81.80,577.33,538.53,8.21,4.47,"68.79"
17:00,44.16,27.15,16.87,78.53,410.53,3.10,1.37,"69.10"
17:15,35.05,25.87,5.40,20.07,469.00,0.60,0.29,"69.21"
17:30,30.45,24.79,0.53,4.67,477.37,0.13,0.06,"69.21"
17:45,27.73,23.97,0.00,0.00,463.70,0.00,0.00,"69.21"
18:00,26.42,23.61,0.00,0.00,198.17,0.00,0.00,"69.21"
18:15,25.21,22.92,0.00,0.00,48.43,0.00,0.00,"69.21"
18:30,24.12,22.11,0.00,0.00,27.40,0.00,0.00,"69.21"
18:45,23.72,21.52,0.00,0.00,26.37,0.00,0.00,"69.21"
19:00,22.92,20.70,0.00,0.00,27.43,0.00,0.00,"69.21"
19:15,22.79,20.18,0.00,0.00,27.20,0.00,0.00,"69.21"
19:30,22.21,19.53,0.00,0.00,27.67,0.00,0.00,"69.21"
19:45,21.75,19.43,0.00,0.00,27.13,0.00,0.00,"69.21"
20:00,21.40,19.30,0.00,0.00,28.23,0.00,0.00,"69.21"
20:15,21.40,19.22,0.00,0.00,27.00,0.00,0.00,"69.21"
20:30,21.00,19.12,0.00,0.00,26.40,0.00,0.00,"69.21"
20:45,20.41,19.02,0.00,0.00,26.57,0.00,0.00,"69.21"
21:00,20.34,18.65,0.00,0.00,24.30,0.00,0.00,"69.21"
21:15,20.06,18.65,0.00,0.00,23.50,0.00,0.00,"69.21"
21:30,20.00,18.47,0.00,0.00,22.63,0.00,0.00,"69.21"
21:45,19.91,18.25,0.00,0.00,23.40,0.00,0.00,"69.21"
22:00,19.80,18.21,0.00,0.00,23.47,0.00,0.00,"69.21"
22:15,19.80,18.35,0.00,0.00,23.07,0.00,0.00,"69.21"
22:30,19.77,18.35,0.00,0.00,12.07,0.00,0.00,"69.21"
22:45,19.33,18.20,0.00,0.00,8.73,0.00,0.00,"69.21"
23:00,19.17,18.31,0.00,0.00,7.80,0.00,0.00,"69.21"
23:15,18.69,17.90,0.00,0.00,6.13,0.00,0.00,"69.21"
23:30,18.60,17.90,0.00,0.00,6.70,0.00,0.00,"69.21"
23:45,18.60,17.89,0.00,0.00,6.00,0.00,0.00,"69.21"
