시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,17.41,17.86,0.00,0.00,6.00,0.00,0.00,"0.00"
00:15,17.25,17.49,0.00,0.00,6.00,0.00,0.00,"0.00"
00:30,17.20,17.29,0.00,0.00,5.70,0.00,0.00,"0.00"
00:45,17.10,17.20,0.00,0.00,5.10,0.00,0.00,"0.00"
01:00,16.76,17.00,0.00,0.00,5.00,0.00,0.00,"0.00"
01:15,16.60,16.71,0.00,0.00,5.00,0.00,0.00,"0.00"
01:30,16.59,16.58,0.00,0.00,5.00,0.00,0.00,"0.00"
01:45,16.50,16.50,0.00,0.00,5.00,0.00,0.00,"0.00"
02:00,16.40,16.55,0.00,0.00,5.00,0.00,0.00,"0.00"
02:15,16.22,16.58,0.00,0.00,5.00,0.00,0.00,"0.00"
02:30,16.04,16.55,0.00,0.00,5.00,0.00,0.00,"0.00"
02:45,15.91,16.59,0.00,0.00,5.00,0.00,0.00,"0.00"
03:00,15.90,16.52,0.00,0.00,5.00,0.00,0.00,"0.00"
03:15,15.82,16.50,0.00,0.00,5.00,0.00,0.00,"0.00"
03:30,15.80,16.50,0.00,0.00,5.00,0.00,0.00,"0.00"
03:45,15.80,16.49,0.00,0.00,5.27,0.00,0.00,"0.00"
04:00,15.80,16.33,0.00,0.00,5.00,0.00,0.00,"0.00"
04:15,15.74,16.07,0.00,0.00,5.00,0.00,0.00,"0.00"
04:30,15.44,15.91,0.00,0.00,5.00,0.00,0.00,"0.00"
04:45,15.24,15.90,0.00,0.00,5.27,0.00,0.00,"0.00"
05:00,15.20,15.83,0.00,0.00,5.27,0.00,0.00,"0.00"
05:15,15.20,15.80,0.00,0.00,5.93,0.00,0.00,"0.00"
05:30,15.20,15.74,0.00,0.00,5.87,0.00,0.00,"0.00"
05:45,15.20,15.43,0.00,0.00,4.47,0.00,0.00,"0.00"
06:00,15.09,15.21,0.00,0.00,30.07,0.00,0.00,"0.00"
06:15,15.00,15.33,0.00,0.00,257.10,0.00,0.00,"0.00"
06:30,15.00,15.53,0.00,0.00,349.50,0.01,0.01,"0.00"
06:45,15.01,15.63,0.60,1.13,446.57,0.16,0.10,"0.00"
07:00,15.60,15.70,5.07,5.93,467.17,0.25,0.11,"0.00"
07:15,15.91,15.70,4.87,8.73,524.50,0.27,0.16,"0.00"
07:30,16.47,15.70,7.00,14.73,559.23,0.70,0.48,"0.00"
07:45,17.10,16.21,9.07,20.80,563.73,0.95,0.58,"0.00"
