시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,15.00,14.39,0.00,0.00,12.83,0.00,0.00,"0.00"
00:15,15.00,14.30,0.00,0.00,12.03,0.00,0.00,"0.00"
00:30,14.96,14.30,0.00,0.00,10.20,0.00,0.00,"0.00"
00:45,14.93,14.30,0.00,0.00,10.90,0.00,0.00,"0.00"
01:00,15.08,14.30,0.00,0.00,10.77,0.00,0.00,"0.00"
01:15,15.24,14.30,0.00,0.00,9.07,0.00,0.00,"0.00"
01:30,15.20,14.30,0.00,0.00,8.17,0.00,0.00,"0.00"
01:45,15.20,14.30,0.00,0.00,9.00,0.00,0.00,"0.00"
02:00,15.20,14.30,0.00,0.00,9.20,0.00,0.00,"0.00"
02:15,15.20,14.30,0.00,0.00,10.00,0.00,0.00,"0.00"
02:30,15.14,14.25,0.00,0.00,9.03,0.00,0.00,"0.00"
02:45,15.10,14.20,0.00,0.00,9.33,0.00,0.00,"0.00"
03:00,15.10,14.20,0.00,0.00,9.83,0.00,0.00,"0.00"
03:15,15.07,14.04,0.00,0.00,10.00,0.00,0.00,"0.00"
03:30,15.00,13.74,0.00,0.00,10.10,0.00,0.00,"0.00"
03:45,15.00,13.60,0.00,0.00,10.93,0.00,0.00,"0.00"
04:00,15.00,13.54,0.00,0.00,11.13,0.00,0.00,"0.00"
04:15,15.00,13.43,0.00,0.00,11.17,0.00,0.00,"0.00"
04:30,15.00,13.47,0.00,0.00,11.97,0.00,0.00,"0.00"
04:45,15.00,13.34,0.00,0.00,12.00,0.00,0.00,"0.00"
05:00,14.93,13.35,0.00,0.00,12.23,0.00,0.00,"0.00"
05:15,14.88,13.30,0.00,0.00,13.70,0.00,0.00,"0.00"
05:30,14.64,13.18,0.00,0.00,13.20,0.00,0.00,"0.00"
05:45,14.59,13.33,0.00,0.00,46.97,0.00,0.00,"0.00"
06:00,14.50,13.24,0.00,0.00,256.63,0.00,0.00,"0.00"
06:15,14.50,13.13,0.00,0.00,361.93,0.00,0.00,"0.00"
06:30,14.57,13.16,1.87,0.00,409.27,0.07,0.08,"0.00"
06:45,14.81,13.20,8.73,3.07,461.77,0.17,0.10,"0.00"
