시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,-5.30,-7.40,0.00,0.00,15.30,0.00,0.00,"0.00"
00:15,-5.30,-7.40,0.00,0.00,13.03,0.00,0.00,"0.00"
00:30,-5.30,-7.40,0.00,0.00,12.20,0.00,0.00,"0.00"
00:45,-5.30,-7.40,0.00,0.00,12.13,0.00,0.00,"0.00"
01:00,-5.30,-7.40,0.00,0.00,11.03,0.00,0.00,"0.00"
01:15,-5.30,-7.40,0.00,0.00,10.00,0.00,0.00,"0.00"
01:30,-5.30,-7.40,0.00,0.00,9.63,0.00,0.00,"0.00"
01:45,-5.30,-7.40,0.00,0.00,9.57,0.00,0.00,"0.00"
02:00,-5.30,-7.40,0.00,0.00,9.43,0.00,0.00,"0.00"
02:15,-5.30,-7.40,0.00,0.00,10.77,0.00,0.00,"0.00"
02:30,-5.30,-7.40,0.00,0.00,10.00,0.00,0.00,"0.00"
02:45,-5.30,-7.40,0.00,0.00,9.80,0.00,0.00,"0.00"
03:00,-5.35,-7.40,0.00,0.00,9.93,0.00,0.00,"0.00"
03:15,-5.40,-7.40,0.00,0.00,12.63,0.00,0.00,"0.00"
03:30,-5.40,-7.40,0.00,0.00,12.50,0.00,0.00,"0.00"
03:45,-5.49,-7.40,0.00,0.00,12.70,0.00,0.00,"0.00"
04:00,-5.50,-7.40,0.00,0.00,12.20,0.00,0.00,"0.00"
04:15,-5.53,-7.40,0.00,0.00,12.00,0.00,0.00,"0.00"
04:30,-5.70,-7.40,0.00,0.00,12.00,0.00,0.00,"0.00"
04:45,-5.82,-7.40,0.00,0.00,12.17,0.00,0.00,"0.00"
05:00,-5.91,-7.40,0.00,0.00,12.77,0.00,0.00,"0.00"
05:15,-5.99,-7.40,0.00,0.00,13.00,0.00,0.00,"0.00"
05:30,-6.09,-7.40,0.00,0.00,14.17,0.00,0.00,"0.00"
05:45,-6.02,-7.40,0.00,0.00,20.23,0.00,0.00,"0.00"
06:00,-6.10,-7.40,0.00,0.00,13.77,0.00,0.00,"0.00"
06:15,-6.31,-7.40,0.00,0.00,14.10,0.00,0.00,"0.00"
06:30,-6.46,-7.40,0.00,0.00,64.93,0.00,0.00,"0.00"
06:45,-6.57,-7.40,0.00,0.00,294.40,0.00,0.00,"0.00"
07:00,-6.06,-7.40,0.00,0.00,468.20,0.02,0.02,"0.00"
07:15,-5.55,-7.40,0.93,2.27,480.03,0.17,0.11,"0.00"
07:30,-5.50,-7.09,4.60,7.93,506.97,0.30,0.15,"0.00"
07:45,-5.45,-6.21,8.13,13.67,582.13,0.71,0.50,"0.00"
08:00,-4.51,-6.20,11.47,19.80,599.97,1.00,0.66,"0.00"
08:15,-3.22,-6.15,15.27,28.00,611.37,1.23,0.83,"0.20"
08:30,-2.74,-5.76,19.73,38.93,630.53,1.57,1.08,"0.45"
08:45,-2.62,-4.96,24.87,53.07,635.83,2.10,1.40,"0.76"
09:00,-1.88,-4.37,30.13,64.47,642.27,2.47,1.66,"1.12"
09:15,-0.62,-3.40,35.73,73.53,642.50,2.91,1.94,"1.54"
09:30,-0.09,-3.29,39.27,78.60,640.87,3.33,2.22,"2.03"
09:45,0.55,-2.73,47.93,84.73,642.10,3.76,2.45,"2.57"
10:00,1.59,-1.45,74.53,89.87,637.37,3.97,2.59,"3.14"
10:15,2.63,-0.60,63.87,92.67,641.73,4.09,2.70,"3.73"
10:30,2.71,-0.55,85.80,93.33,638.60,4.17,2.72,"4.35"
10:45,3.30,0.08,96.93,88.73,632.17,3.99,2.58,"4.90"
11:00,3.86,1.27,450.93,114.40,640.07,4.59,3.01,"5.57"
11:15,4.45,2.22,574.73,139.27,641.00,5.28,3.45,"6.33"
11:30,5.89,2.85,706.73,195.27,650.37,7.53,4.98,"7.47"
11:45,8.73,3.86,589.20,251.53,646.70,9.93,6.56,"8.95"
12:00,9.77,3.74,422.62,240.46,634.88,9.94,6.32,"10.43"
12:15,8.58,3.03,211.80,147.53,633.53,6.11,3.91,"11.31"
12:30,6.65,2.05,236.80,164.27,630.77,6.89,4.43,"12.24"
12:45,9.30,3.23,427.40,296.80,632.93,11.89,7.70,"14.01"
13:00,10.01,3.47,364.53,273.40,623.10,11.51,7.06,"15.66"
13:15,10.08,3.76,362.27,298.33,634.83,11.93,7.63,"17.38"
13:30,11.86,4.71,333.93,288.93,630.73,10.75,7.09,"19.01"
13:45,10.70,3.95,206.33,187.80,631.87,7.09,4.82,"20.12"
14:00,10.95,4.23,306.53,304.07,637.13,11.98,7.65,"21.70"
14:15,14.44,4.96,478.60,516.87,630.87,21.26,13.40,"24.73"
14:30,15.43,4.93,334.53,360.67,614.23,15.11,9.27,"26.97"
14:45,14.48,4.69,306.13,313.73,634.00,12.71,8.33,"28.93"
15:00,12.07,4.12,130.20,102.73,615.90,4.49,2.80,"29.52"
15:15,8.92,3.65,110.47,81.20,621.97,3.59,2.30,"30.02"
15:30,7.01,3.60,79.80,54.60,611.10,2.53,1.62,"30.37"
15:45,6.55,3.60,97.27,85.73,626.17,3.67,2.35,"30.87"
16:00,6.63,3.60,101.07,108.47,630.07,4.43,2.88,"31.49"
16:15,8.49,3.86,128.00,176.73,629.33,6.71,4.28,"32.41"
16:30,11.16,4.25,171.67,319.20,623.53,11.59,7.21,"34.06"
16:45,12.97,4.71,156.73,367.07,624.23,10.78,6.77,"35.62"
17:00,13.01,4.79,102.87,241.73,627.43,7.07,4.56,"36.69"
17:15,11.11,4.69,86.00,215.87,636.20,5.45,3.56,"37.46"
17:30,7.90,3.99,38.47,53.93,618.60,2.05,1.34,"37.75"
17:45,5.61,3.60,19.00,24.93,604.53,1.14,0.76,"37.96"
18:00,4.29,3.60,2.67,3.20,517.53,0.24,0.16,"37.99"
18:15,4.05,3.60,0.00,0.00,483.73,0.00,0.00,"37.99"
18:30,3.91,3.60,0.00,0.00,331.87,0.00,0.00,"37.99"
18:45,3.90,3.60,0.00,0.00,167.90,0.00,0.00,"37.99"
19:00,3.90,3.60,0.00,0.00,61.37,0.00,0.00,"37.99"
19:15,3.90,3.60,0.00,0.00,51.57,0.00,0.00,"37.99"
19:30,3.90,3.60,0.00,0.00,50.77,0.00,0.00,"37.99"
19:45,3.80,3.60,0.00,0.00,49.20,0.00,0.00,"37.99"
20:00,3.40,3.60,0.00,0.00,48.93,0.00,0.00,"37.99"
20:15,2.90,3.60,0.00,0.00,47.87,0.00,0.00,"37.99"
20:30,2.90,3.52,0.00,0.00,48.67,0.00,0.00,"37.99"
20:45,2.91,3.50,0.00,0.00,48.70,0.00,0.00,"37.99"
21:00,3.35,3.50,0.00,0.00,48.80,0.00,0.00,"37.99"
21:15,3.66,3.50,0.00,0.00,48.53,0.00,0.00,"37.99"
21:30,3.70,3.50,0.00,0.00,45.67,0.00,0.00,"37.99"
21:45,3.70,3.50,0.00,0.00,45.00,0.00,0.00,"37.99"
22:00,3.41,3.50,0.00,0.00,41.07,0.00,0.00,"37.99"
22:15,2.90,3.50,0.00,0.00,37.97,0.00,0.00,"37.99"
22:30,2.90,3.50,0.00,0.00,39.70,0.00,0.00,"37.99"
22:45,2.95,3.50,0.00,0.00,39.27,0.00,0.00,"37.99"
23:00,3.59,3.50,0.00,0.00,25.20,0.00,0.00,"37.99"
23:15,3.70,3.50,0.00,0.00,22.00,0.00,0.00,"37.99"
23:30,3.73,3.50,0.00,0.00,22.53,0.00,0.00,"37.99"
23:45,4.05,4.11,0.00,0.00,19.53,0.00,0.00,"37.99"
