시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,24.10,23.09,0.00,0.00,4.87,0.00,0.00,"0.00"
00:15,24.10,22.85,0.00,0.00,4.07,0.00,0.00,"0.00"
00:30,24.10,22.42,0.00,0.00,3.80,0.00,0.00,"0.00"
00:45,24.10,22.47,0.00,0.00,3.27,0.00,0.00,"0.00"
01:00,24.10,22.29,0.00,0.00,3.20,0.00,0.00,"0.00"
01:15,23.96,22.10,0.00,0.00,3.23,0.00,0.00,"0.00"
01:30,23.88,22.01,0.00,0.00,3.47,0.00,0.00,"0.00"
01:45,23.53,22.00,0.00,0.00,3.63,0.00,0.00,"0.00"
02:00,23.42,22.00,0.00,0.00,3.43,0.00,0.00,"0.00"
02:15,23.39,21.91,0.00,0.00,3.13,0.00,0.00,"0.00"
02:30,23.11,21.39,0.00,0.00,3.53,0.00,0.00,"0.00"
02:45,22.81,21.36,0.00,0.00,3.37,0.00,0.00,"0.00"
03:00,22.80,20.93,0.00,0.00,3.00,0.00,0.00,"0.00"
03:15,22.80,20.70,0.00,0.00,3.30,0.00,0.00,"0.00"
03:30,22.79,20.70,0.00,0.00,4.00,0.00,0.00,"0.00"
03:45,22.51,20.70,0.00,0.00,4.00,0.00,0.00,"0.00"
04:00,22.11,20.70,0.00,0.00,3.87,0.00,0.00,"0.00"
04:15,22.09,20.70,0.00,0.00,4.23,0.00,0.00,"0.00"
04:30,21.87,20.43,0.00,0.00,13.00,0.00,0.00,"0.00"
04:45,21.47,19.78,0.00,0.00,166.97,0.00,0.00,"0.00"
05:00,21.40,19.63,0.00,0.00,290.90,0.00,0.00,"0.00"
05:15,21.40,19.60,0.00,0.00,396.90,0.06,0.04,"0.00"
05:30,21.67,19.60,0.47,2.33,471.97,0.15,0.09,"0.00"
05:45,21.97,19.97,3.13,7.00,498.43,0.22,0.10,"0.00"
06:00,22.57,20.50,5.87,11.80,530.93,0.39,0.23,"0.00"
06:15,22.69,20.51,8.27,17.47,540.37,0.74,0.50,"0.00"
06:30,22.81,20.64,10.07,24.47,572.33,1.03,0.64,"0.00"
06:45,23.23,20.91,12.40,32.93,581.73,1.25,0.81,"0.20"
07:00,23.92,21.79,14.67,40.87,587.23,1.52,0.97,"0.42"
07:15,24.25,22.01,16.87,51.73,584.40,1.97,1.20,"0.68"
07:30,25.22,22.50,19.40,63.07,583.07,2.29,1.43,"0.98"
07:45,25.93,23.29,21.73,72.27,584.40,2.65,1.60,"1.31"
08:00,26.68,23.87,22.87,80.53,584.60,2.87,1.72,"1.67"
08:15,27.22,24.17,25.27,88.13,582.57,3.07,1.86,"2.06"
08:30,28.07,25.19,29.00,93.40,582.37,3.28,1.98,"2.47"
08:45,28.66,25.79,33.20,100.13,588.00,3.51,2.12,"2.91"
09:00,29.53,26.12,37.93,105.67,586.00,3.75,2.24,"3.38"
09:15,30.10,26.72,43.33,106.80,582.23,3.87,2.32,"3.87"
09:30,30.37,27.08,46.93,110.87,582.17,4.12,2.45,"4.39"
09:45,31.00,27.95,60.20,120.80,585.33,4.58,2.73,"4.97"
10:00,31.26,27.94,72.87,123.40,581.67,4.72,2.84,"5.58"
10:15,32.12,28.69,90.40,134.00,586.23,5.19,3.11,"6.25"
10:30,32.73,28.77,111.87,136.13,583.60,5.41,3.21,"6.94"
10:45,32.88,29.50,120.33,142.87,584.07,5.73,3.41,"7.68"
11:00,33.16,29.78,138.60,150.07,583.50,6.12,3.62,"8.47"
11:15,33.45,30.11,158.13,155.93,584.13,6.31,3.77,"9.30"
11:30,34.08,30.74,593.27,175.47,583.93,7.01,4.15,"10.22"
11:45,35.16,31.75,749.27,191.80,583.70,7.31,4.34,"11.18"
12:00,36.29,32.23,709.33,199.27,585.80,7.56,4.49,"12.17"
12:15,37.33,32.42,824.00,239.47,585.83,9.10,5.39,"13.38"
12:30,38.55,32.60,921.47,303.53,585.53,11.69,6.92,"14.98"
12:45,40.34,32.63,764.80,323.73,583.03,12.67,7.44,"16.71"
13:00,41.30,32.48,465.13,262.53,578.43,10.04,5.89,"18.07"
13:15,41.64,32.69,782.00,390.13,580.87,15.89,9.27,"20.22"
13:30,43.05,33.36,802.00,426.87,576.70,17.45,10.15,"22.56"
13:45,44.24,34.89,595.20,356.53,572.70,14.40,8.32,"24.51"
14:00,44.20,34.71,566.80,364.33,577.90,14.62,8.51,"26.49"
14:15,45.08,34.70,430.73,306.67,567.57,12.16,6.96,"28.11"
14:30,47.08,35.00,362.53,273.47,569.50,10.65,6.16,"29.51"
14:45,46.65,33.56,462.80,352.47,578.83,13.91,8.12,"31.37"
15:00,51.99,35.55,600.20,473.20,574.17,18.90,10.91,"33.95"
15:15,61.57,35.63,476.47,396.47,559.70,15.83,8.97,"36.12"
15:30,64.47,33.79,391.67,344.20,553.60,13.89,7.76,"37.89"
15:45,65.49,33.76,360.80,332.33,567.37,13.14,7.52,"39.63"
16:00,69.39,33.30,377.60,370.80,564.40,14.62,8.32,"41.58"
16:15,77.39,34.71,373.00,400.40,566.47,14.96,8.53,"43.59"
16:30,77.99,32.95,320.80,365.47,566.27,12.87,7.36,"45.30"
16:45,71.30,32.70,260.27,291.60,566.40,9.91,5.67,"46.60"
17:00,58.25,32.19,178.80,173.60,567.97,6.19,3.58,"47.39"
17:15,46.06,30.71,127.93,106.07,565.93,4.09,2.36,"47.88"
17:30,39.89,29.66,107.00,87.13,568.93,3.37,1.98,"48.29"
17:45,36.29,28.73,92.07,72.40,570.93,2.90,1.71,"48.64"
18:00,33.95,28.73,70.53,54.67,564.00,2.26,1.34,"48.92"
18:15,32.15,27.81,55.33,43.47,562.17,1.89,1.09,"49.16"
18:30,31.16,27.55,44.13,35.93,558.37,1.50,0.92,"49.37"
18:45,30.39,27.21,34.87,29.27,558.73,1.29,0.79,"49.58"
19:00,29.06,26.25,19.73,16.87,551.40,0.83,0.53,"49.77"
19:15,28.33,25.99,6.87,5.67,501.20,0.19,0.09,"49.77"
19:30,27.77,25.50,0.27,0.07,510.60,0.03,0.02,"49.77"
19:45,27.03,25.49,0.00,0.00,458.90,0.00,0.00,"49.77"
20:00,26.90,25.17,0.00,0.00,304.03,0.00,0.00,"49.77"
20:15,26.81,24.93,0.00,0.00,101.93,0.00,0.00,"49.77"
20:30,26.31,24.78,0.00,0.00,33.30,0.00,0.00,"49.77"
20:45,26.20,24.28,0.00,0.00,25.17,0.00,0.00,"49.77"
21:00,25.65,23.76,0.00,0.00,23.23,0.00,0.00,"49.77"
21:15,25.43,23.41,0.00,0.00,23.27,0.00,0.00,"49.77"
21:30,25.33,23.40,0.00,0.00,23.40,0.00,0.00,"49.77"
21:45,25.09,23.40,0.00,0.00,21.47,0.00,0.00,"49.77"
22:00,24.98,23.40,0.00,0.00,20.07,0.00,0.00,"49.77"
22:15,24.79,23.40,0.00,0.00,20.00,0.00,0.00,"49.77"
22:30,24.45,23.40,0.00,0.00,20.00,0.00,0.00,"49.77"
22:45,24.13,23.40,0.00,0.00,14.30,0.00,0.00,"49.77"
23:00,24.10,23.40,0.00,0.00,9.23,0.00,0.00,"49.77"
23:15,24.10,23.33,0.00,0.00,8.20,0.00,0.00,"49.77"
23:30,24.10,23.03,0.00,0.00,7.17,0.00,0.00,"49.77"
23:45,24.10,23.05,0.00,0.00,6.83,0.00,0.00,"49.77"
