시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,28.30,26.83,0.00,0.00,4.07,0.00,0.00,"0.00"
00:15,28.30,26.71,0.00,0.00,4.00,0.00,0.00,"0.00"
00:30,28.27,26.66,0.00,0.00,4.00,0.00,0.00,"0.00"
00:45,27.96,26.35,0.00,0.00,4.00,0.00,0.00,"0.00"
01:00,27.62,26.23,0.00,0.00,4.13,0.00,0.00,"0.00"
01:15,27.60,26.25,0.00,0.00,4.10,0.00,0.00,"0.00"
01:30,27.60,26.31,0.00,0.00,4.00,0.00,0.00,"0.00"
01:45,27.56,26.20,0.00,0.00,4.00,0.00,0.00,"0.00"
02:00,27.46,26.20,0.00,0.00,4.00,0.00,0.00,"0.00"
02:15,27.38,26.20,0.00,0.00,4.10,0.00,0.00,"0.00"
02:30,27.16,26.20,0.00,0.00,4.50,0.00,0.00,"0.00"
02:45,27.13,26.20,0.00,0.00,4.27,0.00,0.00,"0.00"
03:00,27.15,26.20,0.00,0.00,4.27,0.00,0.00,"0.00"
03:15,27.01,26.20,0.00,0.00,4.60,0.00,0.00,"0.00"
03:30,27.00,26.20,0.00,0.00,4.63,0.00,0.00,"0.00"
03:45,26.92,26.20,0.00,0.00,4.80,0.00,0.00,"0.00"
04:00,26.90,26.20,0.00,0.00,5.00,0.00,0.00,"0.00"
04:15,26.90,26.20,0.00,0.00,4.97,0.00,0.00,"0.00"
04:30,26.90,26.20,0.00,0.00,6.47,0.00,0.00,"0.00"
04:45,26.90,26.20,0.00,0.00,25.40,0.00,0.00,"0.00"
05:00,26.90,26.20,0.00,0.00,213.30,0.00,0.00,"0.00"
05:15,26.90,26.20,0.00,0.00,282.87,0.00,0.00,"0.00"
05:30,26.90,26.20,0.00,0.00,338.77,0.00,0.00,"0.00"
05:45,26.94,26.20,2.07,0.40,418.53,0.11,0.07,"0.00"
06:00,27.39,26.20,4.67,0.53,436.03,0.15,0.08,"0.00"
06:15,27.25,26.20,0.27,0.00,452.83,0.07,0.04,"0.00"
06:30,26.93,26.20,0.20,0.00,513.43,0.01,0.01,"0.00"
06:45,27.21,26.20,9.80,4.73,506.40,0.17,0.09,"0.00"
07:00,27.40,26.20,10.53,4.53,523.10,0.15,0.07,"0.00"
07:15,27.01,26.20,7.47,3.07,508.17,0.12,0.08,"0.00"
07:30,26.90,26.09,10.33,5.33,505.40,0.17,0.09,"0.00"
07:45,26.90,25.95,16.47,9.93,536.80,0.22,0.09,"0.00"
08:00,26.96,26.00,14.40,7.80,536.03,0.17,0.07,"0.00"
08:15,26.90,25.92,9.20,6.07,517.60,0.18,0.09,"0.00"
