시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,8.10,6.85,0.00,0.00,15.60,0.00,0.00,"0.00"
00:15,8.02,6.42,0.00,0.00,15.67,0.00,0.00,"0.00"
00:30,7.82,6.40,0.00,0.00,12.53,0.00,0.00,"0.00"
00:45,7.70,6.30,0.00,0.00,12.23,0.00,0.00,"0.00"
01:00,7.70,6.30,0.00,0.00,12.90,0.00,0.00,"0.00"
01:15,7.70,6.21,0.00,0.00,12.00,0.00,0.00,"0.00"
01:30,7.45,5.82,0.00,0.00,12.00,0.00,0.00,"0.00"
01:45,6.81,5.08,0.00,0.00,11.67,0.00,0.00,"0.00"
02:00,6.33,4.95,0.00,0.00,12.00,0.00,0.00,"0.00"
02:15,6.09,4.44,0.00,0.00,12.00,0.00,0.00,"0.00"
02:30,5.71,3.86,0.00,0.00,12.00,0.00,0.00,"0.00"
02:45,5.70,3.60,0.00,0.00,11.67,0.00,0.00,"0.00"
03:00,5.70,3.60,0.00,0.00,10.70,0.00,0.00,"0.00"
03:15,5.70,3.60,0.00,0.00,11.00,0.00,0.00,"0.00"
03:30,5.70,3.60,0.00,0.00,11.43,0.00,0.00,"0.00"
03:45,5.67,3.60,0.00,0.00,12.00,0.00,0.00,"0.00"
04:00,5.60,3.61,0.00,0.00,12.00,0.00,0.00,"0.00"
04:15,5.60,4.23,0.00,0.00,13.33,0.00,0.00,"0.00"
04:30,5.60,4.41,0.00,0.00,13.00,0.00,0.00,"0.00"
04:45,5.60,4.59,0.00,0.00,13.03,0.00,0.00,"0.00"
05:00,5.60,4.78,0.00,0.00,15.40,0.00,0.00,"0.00"
05:15,5.60,4.80,0.00,0.00,14.13,0.00,0.00,"0.00"
05:30,5.60,4.80,0.00,0.00,21.20,0.00,0.00,"0.00"
05:45,5.75,4.80,0.00,0.00,16.73,0.00,0.00,"0.00"
06:00,5.90,4.80,0.00,0.00,15.00,0.00,0.00,"0.00"
06:15,6.07,4.87,0.00,0.00,15.00,0.00,0.00,"0.00"
06:30,6.10,5.17,0.00,0.00,15.10,0.00,0.00,"0.00"
06:45,6.18,5.42,0.00,0.00,15.47,0.00,0.00,"0.00"
07:00,6.20,5.23,0.00,0.00,18.87,0.00,0.00,"0.00"
07:15,6.20,5.06,0.00,0.00,145.60,0.00,0.00,"0.00"
07:30,6.17,5.00,0.00,0.00,282.63,0.00,0.00,"0.00"
07:45,6.03,5.00,0.00,0.00,356.77,0.00,0.00,"0.00"
08:00,5.80,5.00,0.00,0.00,425.33,0.00,0.01,"0.00"
08:15,5.74,5.00,1.00,0.00,437.73,0.06,0.07,"0.00"
08:30,5.81,5.00,5.00,1.07,508.30,0.11,0.08,"0.00"
08:45,5.85,4.91,14.53,7.40,545.97,0.15,0.09,"0.00"
09:00,6.21,4.90,18.87,10.33,556.37,0.19,0.11,"0.00"
09:15,6.33,4.90,23.87,13.87,556.23,0.63,0.42,"0.00"
09:30,6.31,4.90,32.93,19.93,595.80,1.01,0.68,"0.00"
09:45,6.30,4.87,38.87,24.27,606.47,1.14,0.79,"0.00"
10:00,6.30,4.71,46.73,30.53,610.00,1.43,0.94,"0.24"
10:15,6.48,4.61,64.47,41.33,609.83,1.97,1.22,"0.51"
10:30,7.39,4.55,81.53,53.20,610.57,2.41,1.54,"0.85"
10:45,8.20,4.73,87.67,56.40,611.70,2.51,1.62,"1.20"
11:00,8.20,4.74,84.67,53.47,613.73,2.33,1.54,"1.54"
11:15,8.18,4.71,74.53,45.60,610.37,2.13,1.36,"1.84"
11:30,7.95,4.68,70.40,44.00,611.23,2.07,1.32,"2.13"
11:45,8.05,4.68,75.07,46.87,608.37,2.18,1.39,"2.44"
12:00,8.33,4.77,79.07,49.60,607.53,2.27,1.44,"2.76"
12:15,9.11,4.79,79.60,49.80,608.73,2.25,1.46,"3.08"
12:30,8.40,4.79,81.47,51.93,612.67,2.28,1.51,"3.40"
12:45,8.40,4.77,90.47,59.27,618.90,2.60,1.66,"3.77"
13:00,9.16,4.78,107.13,69.00,613.87,3.03,1.92,"4.18"
13:15,9.81,4.75,106.73,69.87,612.87,3.05,1.95,"4.61"
13:30,10.56,4.88,113.93,76.47,613.83,3.35,2.10,"5.07"
13:45,9.81,5.17,123.73,85.07,624.80,3.59,2.31,"5.57"
14:00,10.23,5.03,129.47,89.93,624.83,3.81,2.43,"6.11"
14:15,9.93,5.00,134.20,95.27,626.40,4.01,2.56,"6.67"
14:30,10.65,5.39,139.27,98.27,620.87,4.17,2.67,"7.26"
14:45,12.57,5.49,117.40,84.13,614.47,3.57,2.28,"7.75"
15:00,11.05,5.49,142.47,116.67,629.33,4.83,3.12,"8.45"
15:15,11.05,5.11,112.07,81.93,618.20,3.58,2.25,"8.94"
15:30,10.62,5.05,82.20,57.47,610.33,2.54,1.63,"9.30"
15:45,8.89,4.89,56.53,34.87,601.50,1.62,1.06,"9.54"
16:00,7.72,4.69,35.07,20.53,591.23,1.05,0.70,"9.75"
16:15,6.53,3.97,23.87,13.67,592.90,0.70,0.52,"9.94"
16:30,6.07,3.60,13.20,6.60,538.97,0.21,0.12,"9.97"
16:45,5.70,3.41,12.67,6.27,574.47,0.13,0.08,"9.97"
17:00,5.53,3.27,5.13,0.93,534.93,0.06,0.04,"9.97"
17:15,5.05,2.69,0.73,0.00,565.73,0.02,0.02,"9.97"
17:30,4.31,2.08,0.00,0.00,542.13,0.00,0.00,"9.97"
17:45,4.25,1.17,0.00,0.00,497.57,0.00,0.00,"9.97"
18:00,3.91,0.53,0.00,0.00,354.60,0.00,0.00,"9.97"
18:15,3.40,0.26,0.00,0.00,177.83,0.00,0.00,"9.97"
18:30,2.90,0.28,0.00,0.00,70.73,0.00,0.00,"9.97"
18:45,2.90,0.17,0.00,0.00,60.00,0.00,0.00,"9.97"
19:00,2.90,0.11,0.00,0.00,58.57,0.00,0.00,"9.97"
19:15,2.90,0.10,0.00,0.00,58.53,0.00,0.00,"9.97"
19:30,2.90,0.10,0.00,0.00,60.57,0.00,0.00,"9.97"
19:45,2.90,0.10,0.00,0.00,57.87,0.00,0.00,"9.97"
20:00,2.90,0.10,0.00,0.00,55.63,0.00,0.00,"9.97"
20:15,2.90,0.03,0.00,0.00,57.37,0.00,0.00,"9.97"
20:30,2.90,0.00,0.00,0.00,56.30,0.00,0.00,"9.97"
20:45,2.90,0.00,0.00,0.00,56.87,0.00,0.00,"9.97"
21:00,2.85,0.00,0.00,0.00,55.73,0.00,0.00,"9.97"
21:15,2.70,0.00,0.00,0.00,52.83,0.00,0.00,"9.97"
21:30,2.60,0.00,0.00,0.00,51.90,0.00,0.00,"9.97"
21:45,2.58,0.00,0.00,0.00,51.13,0.00,0.00,"9.97"
22:00,2.54,0.00,0.00,0.00,50.47,0.00,0.00,"9.97"
22:15,2.50,0.00,0.00,0.00,45.30,0.00,0.00,"9.97"
22:30,2.50,0.00,0.00,0.00,43.00,0.00,0.00,"9.97"
22:45,2.50,0.00,0.00,0.00,42.67,0.00,0.00,"9.97"
23:00,2.50,0.00,0.00,0.00,29.53,0.00,0.00,"9.97"
23:15,2.50,0.00,0.00,0.00,23.50,0.00,0.00,"9.97"
23:30,2.42,0.00,0.00,0.00,22.73,0.00,0.00,"9.97"
23:45,2.40,0.05,0.00,0.00,20.47,0.00,0.00,"9.97"
