시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,4.20,4.39,0.00,0.00,15.70,0.00,0.00,"0.00"
00:15,4.11,4.32,0.00,0.00,12.67,0.00,0.00,"0.00"
00:30,3.77,4.01,0.00,0.00,9.53,0.00,0.00,"0.00"
00:45,2.94,3.60,0.00,0.00,9.03,0.00,0.00,"0.00"
01:00,2.90,3.60,0.00,0.00,8.93,0.00,0.00,"0.00"
01:15,2.75,3.60,0.00,0.00,8.27,0.00,0.00,"0.00"
01:30,2.50,3.33,0.00,0.00,8.13,0.00,0.00,"0.00"
01:45,2.21,2.79,0.00,0.00,9.53,0.00,0.00,"0.00"
02:00,1.62,2.20,0.00,0.00,8.00,0.00,0.00,"0.00"
02:15,1.55,2.20,0.00,0.00,10.13,0.00,0.00,"0.00"
02:30,1.90,2.20,0.00,0.00,10.13,0.00,0.00,"0.00"
02:45,2.42,3.04,0.00,0.00,10.00,0.00,0.00,"0.00"
03:00,2.70,3.19,0.00,0.00,10.00,0.00,0.00,"0.00"
03:15,2.70,3.33,0.00,0.00,10.67,0.00,0.00,"0.00"
03:30,2.72,3.40,0.00,0.00,12.27,0.00,0.00,"0.00"
03:45,2.88,3.40,0.00,0.00,14.07,0.00,0.00,"0.00"
04:00,3.46,3.40,0.00,0.00,14.68,0.00,0.00,"0.00"
04:15,3.70,3.40,0.00,0.00,14.00,0.00,0.00,"0.00"
04:30,3.70,3.40,0.00,0.00,15.07,0.00,0.00,"0.00"
04:45,3.70,3.58,0.00,0.00,16.70,0.00,0.00,"0.00"
05:00,3.79,4.06,0.00,0.00,16.80,0.00,0.00,"0.00"
05:15,4.09,4.57,0.00,0.00,16.50,0.00,0.00,"0.00"
05:30,4.10,4.77,0.00,0.00,16.83,0.00,0.00,"0.00"
05:45,4.10,4.80,0.00,0.00,16.07,0.00,0.00,"0.00"
06:00,4.18,4.83,0.00,0.00,16.00,0.00,0.00,"0.00"
06:15,4.54,4.94,0.00,0.00,16.23,0.00,0.00,"0.00"
06:30,4.87,5.00,0.00,0.00,16.50,0.00,0.00,"0.00"
