시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,-2.05,-1.03,0.00,0.00,12.90,0.00,0.00,"0.00"
00:15,-2.49,-1.31,0.00,0.00,12.80,0.00,0.00,"0.00"
00:30,-2.36,-1.06,0.00,0.00,11.60,0.00,0.00,"0.00"
00:45,-2.60,-1.83,0.00,0.00,9.00,0.00,0.00,"0.00"
01:00,-2.60,-1.96,0.00,0.00,8.60,0.00,0.00,"0.00"
01:15,-2.60,-2.00,0.00,0.00,8.00,0.00,0.00,"0.00"
01:30,-2.60,-2.09,0.00,0.00,8.00,0.00,0.00,"0.00"
01:45,-2.60,-2.00,0.00,0.00,8.00,0.00,0.00,"0.00"
02:00,-2.60,-2.13,0.00,0.00,8.00,0.00,0.00,"0.00"
02:15,-2.60,-2.10,0.00,0.00,8.00,0.00,0.00,"0.00"
02:30,-2.60,-2.35,0.00,0.00,7.90,0.00,0.00,"0.00"
02:45,-2.60,-2.35,0.00,0.00,8.80,0.00,0.00,"0.00"
03:00,-2.60,-2.45,0.00,0.00,8.17,0.00,0.00,"0.00"
03:15,-2.60,-2.37,0.00,0.00,11.13,0.00,0.00,"0.00"
03:30,-2.63,-2.46,0.00,0.00,9.57,0.00,0.00,"0.00"
03:45,-2.89,-2.73,0.00,0.00,10.00,0.00,0.00,"0.00"
04:00,-2.89,-3.11,0.00,0.00,10.00,0.00,0.00,"0.00"
04:15,-2.81,-2.71,0.00,0.00,10.57,0.00,0.00,"0.00"
04:30,-2.89,-3.19,0.00,0.00,12.50,0.00,0.00,"0.00"
04:45,-3.18,-3.16,0.00,0.00,14.60,0.00,0.00,"0.00"
05:00,-3.10,-3.17,0.00,0.00,12.00,0.00,0.00,"0.00"
05:15,-3.10,-3.20,0.00,0.00,13.47,0.00,0.00,"0.00"
05:30,-3.11,-3.20,0.00,0.00,13.77,0.00,0.00,"0.00"
05:45,-3.06,-3.19,0.00,0.00,13.00,0.00,0.00,"0.00"
06:00,-2.92,-3.18,0.00,0.00,13.00,0.00,0.00,"0.00"
06:15,-3.31,-3.20,0.00,0.00,13.00,0.00,0.00,"0.00"
06:30,-3.73,-3.20,0.00,0.00,13.17,0.00,0.00,"0.00"
06:45,-3.49,-3.20,0.00,0.00,16.13,0.00,0.00,"0.00"
07:00,-3.72,-3.20,0.00,0.00,19.30,0.00,0.00,"0.00"
07:15,-2.97,-3.20,0.00,0.00,118.93,0.00,0.00,"0.00"
07:30,-2.67,-2.88,0.00,0.00,280.90,0.00,0.00,"0.00"
07:45,-2.01,-2.61,0.00,0.00,383.47,0.00,0.00,"0.00"
08:00,-1.69,-2.03,1.47,0.20,409.40,0.07,0.07,"0.00"
08:15,-0.69,-1.45,8.93,4.40,508.40,0.15,0.09,"0.00"
08:30,-0.10,-0.76,19.93,13.07,545.83,0.60,0.35,"0.00"
08:45,-0.10,-0.60,31.73,22.00,599.10,1.11,0.72,"0.00"
09:00,0.32,-0.60,38.20,25.20,606.27,1.15,0.81,"0.14"
09:15,0.83,-0.60,44.53,28.53,605.10,1.33,0.90,"0.37"
09:30,1.81,-0.36,57.00,38.20,606.13,1.70,1.13,"0.63"
09:45,3.17,0.00,69.67,46.87,607.37,2.11,1.36,"0.94"
10:00,4.07,0.51,68.87,44.67,605.57,2.01,1.29,"1.23"
10:15,4.87,0.47,80.53,53.80,610.07,2.34,1.53,"1.57"
10:30,5.46,1.49,109.60,78.93,612.63,3.33,2.09,"2.02"
10:45,5.45,2.31,151.20,110.13,613.63,4.45,2.81,"2.64"
11:00,5.85,3.09,170.80,125.53,634.20,4.94,3.22,"3.36"
11:15,6.51,3.20,158.40,122.87,634.00,4.87,3.15,"4.07"
11:30,7.11,3.49,155.47,116.00,631.17,4.63,3.02,"4.74"
11:45,7.99,3.84,186.53,145.40,635.97,5.77,3.75,"5.58"
12:00,8.59,4.41,184.64,142.36,634.29,5.67,3.66,"6.42"
12:15,8.88,4.80,168.33,123.07,627.10,4.97,3.19,"7.12"
12:30,9.39,4.87,188.80,142.80,631.87,5.58,3.61,"7.94"
12:45,9.71,5.21,170.80,147.80,633.23,5.71,3.68,"8.77"
13:00,10.13,5.32,152.53,129.07,622.70,5.22,3.31,"9.52"
13:15,9.94,4.95,130.60,121.20,623.77,4.71,3.01,"10.18"
13:30,11.17,5.95,220.67,255.33,638.57,9.43,6.11,"11.59"
13:45,16.65,7.35,321.93,407.07,618.23,14.43,8.97,"13.76"
14:00,16.26,7.22,187.20,180.33,610.77,7.26,4.47,"14.79"
14:15,12.86,6.25,103.07,73.80,611.13,3.07,1.94,"15.21"
14:30,10.78,5.34,110.53,102.60,617.10,4.18,2.63,"15.80"
14:45,10.03,5.67,100.27,78.53,613.90,3.27,2.06,"16.25"
15:00,9.13,5.21,74.80,62.13,610.30,2.65,1.68,"16.61"
15:15,8.80,5.11,63.87,62.27,612.13,2.40,1.54,"16.94"
15:30,9.93,5.47,103.33,171.60,622.87,5.83,3.71,"17.72"
15:45,13.56,7.05,138.60,283.27,618.97,9.24,5.79,"19.05"
16:00,12.43,6.63,69.47,110.80,598.80,4.04,2.48,"19.64"
16:15,9.12,5.39,33.07,27.40,594.53,1.29,0.84,"19.86"
16:30,7.09,5.04,9.60,4.20,500.77,0.19,0.11,"19.88"
16:45,5.93,5.00,2.00,0.27,514.80,0.05,0.06,"19.88"
17:00,5.58,5.00,0.00,0.00,560.00,0.01,0.01,"19.88"
17:15,5.30,5.00,0.00,0.00,497.47,0.00,0.00,"19.88"
17:30,4.81,5.00,0.00,0.00,409.83,0.00,0.00,"19.88"
17:45,4.30,5.00,0.00,0.00,214.23,0.00,0.00,"19.88"
18:00,4.30,5.00,0.00,0.00,71.43,0.00,0.00,"19.88"
18:15,4.30,5.00,0.00,0.00,53.60,0.00,0.00,"19.88"
18:30,4.30,4.93,0.00,0.00,52.33,0.00,0.00,"19.88"
18:45,4.30,4.90,0.00,0.00,52.47,0.00,0.00,"19.88"
19:00,4.30,4.90,0.00,0.00,52.80,0.00,0.00,"19.88"
