시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,9.40,7.42,0.00,0.00,16.07,0.00,0.00,"0.00"
00:15,9.12,7.30,0.00,0.00,14.53,0.00,0.00,"0.00"
00:30,9.06,6.99,0.00,0.00,13.93,0.00,0.00,"0.00"
00:45,8.86,6.87,0.00,0.00,14.00,0.00,0.00,"0.00"
01:00,8.61,6.55,0.00,0.00,13.93,0.00,0.00,"0.00"
01:15,8.37,6.15,0.00,0.00,13.00,0.00,0.00,"0.00"
01:30,8.10,5.80,0.00,0.00,13.00,0.00,0.00,"0.00"
01:45,8.10,5.77,0.00,0.00,13.00,0.00,0.00,"0.00"
02:00,7.85,5.65,0.00,0.00,13.00,0.00,0.00,"0.00"
02:15,7.65,5.50,0.00,0.00,13.00,0.00,0.00,"0.00"
02:30,7.50,5.40,0.00,0.00,13.00,0.00,0.00,"0.00"
02:45,7.40,5.06,0.00,0.00,13.00,0.00,0.00,"0.00"
03:00,7.07,4.94,0.00,0.00,13.00,0.00,0.00,"0.00"
03:15,7.00,4.77,0.00,0.00,13.83,0.00,0.00,"0.00"
03:30,6.73,4.63,0.00,0.00,14.67,0.00,0.00,"0.00"
03:45,6.50,4.57,0.00,0.00,15.07,0.00,0.00,"0.00"
04:00,6.49,4.33,0.00,0.00,16.07,0.00,0.00,"0.00"
04:15,6.40,4.25,0.00,0.00,15.97,0.00,0.00,"0.00"
04:30,6.40,4.13,0.00,0.00,18.63,0.00,0.00,"0.00"
04:45,6.33,3.77,0.00,0.00,18.53,0.00,0.00,"0.00"
05:00,6.21,3.60,0.00,0.00,18.03,0.00,0.00,"0.00"
05:15,5.75,3.60,0.00,0.00,18.60,0.00,0.00,"0.00"
05:30,5.71,3.60,0.00,0.00,18.20,0.00,0.00,"0.00"
05:45,5.78,3.60,0.00,0.00,16.10,0.00,0.00,"0.00"
06:00,5.70,3.60,0.00,0.00,30.53,0.00,0.00,"0.00"
06:15,5.95,3.60,0.00,0.00,190.87,0.00,0.00,"0.00"
06:30,5.93,3.60,0.00,0.00,288.70,0.00,0.00,"0.00"
06:45,5.82,3.60,0.00,0.00,350.43,0.00,0.00,"0.00"
07:00,6.06,3.60,0.00,0.00,438.83,0.01,0.01,"0.00"
07:15,6.12,3.60,3.73,1.00,454.47,0.09,0.07,"0.00"
07:30,6.24,3.60,8.07,3.07,490.77,0.17,0.11,"0.00"
07:45,6.30,3.52,15.87,8.67,496.10,0.44,0.25,"0.00"
08:00,6.48,3.43,30.20,17.80,594.57,1.01,0.65,"0.00"
08:15,6.65,3.59,46.07,29.80,604.70,1.47,0.97,"0.00"
08:30,7.59,3.88,58.13,38.60,608.13,1.93,1.21,"0.13"
08:45,8.73,3.95,71.47,48.87,607.43,2.33,1.50,"0.45"
09:00,10.69,4.63,110.47,80.20,615.80,3.61,2.30,"0.95"
09:15,11.00,4.96,135.20,98.20,625.97,4.33,2.78,"1.58"
09:30,11.47,5.39,159.80,119.80,628.23,5.18,3.30,"2.32"
09:45,12.43,5.92,168.73,118.93,625.87,5.13,3.29,"3.05"
10:00,13.39,6.63,160.87,111.20,622.67,4.81,3.07,"3.74"
10:15,13.96,7.35,156.87,113.60,620.80,4.90,3.12,"4.43"
10:30,15.74,8.05,190.13,127.87,617.73,5.47,3.48,"5.19"
10:45,17.88,8.51,214.40,147.27,617.33,6.43,4.01,"6.09"
11:00,16.20,8.91,223.27,154.20,619.97,6.58,4.16,"7.03"
11:15,16.23,10.09,234.20,164.47,622.27,6.89,4.36,"8.02"
11:30,16.63,10.10,248.07,174.73,620.93,7.34,4.61,"9.07"
11:45,17.38,9.83,461.60,217.93,620.67,9.01,5.65,"10.34"
12:00,18.86,11.81,333.64,192.00,617.93,8.09,5.04,"11.53"
12:15,19.25,11.65,320.80,187.87,620.70,7.69,4.88,"12.66"
12:30,19.27,11.54,302.47,200.20,623.40,8.44,5.32,"13.86"
12:45,20.52,11.70,464.40,291.67,614.03,12.60,7.77,"15.62"
13:00,21.61,12.72,344.40,256.67,622.13,10.51,6.72,"17.12"
13:15,23.12,13.45,574.67,393.60,623.37,16.56,10.34,"19.44"
13:30,29.08,14.04,723.47,532.87,601.53,23.13,14.02,"22.85"
13:45,32.88,15.11,509.00,380.87,587.60,16.85,10.03,"25.33"
14:00,27.05,15.11,259.33,214.80,610.07,8.63,5.31,"26.56"
14:15,25.86,15.00,505.80,454.53,620.20,18.36,11.41,"29.15"
