시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,30.50,28.90,0.00,0.00,3.43,0.00,0.00,"0.00"
00:15,30.39,28.74,0.00,0.00,3.53,0.00,0.00,"0.00"
00:30,30.21,28.38,0.00,0.00,3.13,0.00,0.00,"0.00"
00:45,29.79,28.12,0.00,0.00,3.00,0.00,0.00,"0.00"
01:00,29.70,27.99,0.00,0.00,3.00,0.00,0.00,"0.00"
01:15,29.70,27.79,0.00,0.00,3.10,0.00,0.00,"0.00"
01:30,29.70,27.66,0.00,0.00,3.00,0.00,0.00,"0.00"
01:45,29.70,27.61,0.00,0.00,3.00,0.00,0.00,"0.00"
02:00,29.70,27.60,0.00,0.00,3.00,0.00,0.00,"0.00"
02:15,29.70,27.60,0.00,0.00,3.00,0.00,0.00,"0.00"
02:30,29.43,27.56,0.00,0.00,3.00,0.00,0.00,"0.00"
02:45,29.03,27.38,0.00,0.00,3.00,0.00,0.00,"0.00"
03:00,29.00,27.29,0.00,0.00,3.00,0.00,0.00,"0.00"
03:15,28.95,27.25,0.00,0.00,3.13,0.00,0.00,"0.00"
03:30,28.82,27.28,0.00,0.00,3.00,0.00,0.00,"0.00"
03:45,28.65,27.12,0.00,0.00,3.07,0.00,0.00,"0.00"
04:00,28.35,26.87,0.00,0.00,3.00,0.00,0.00,"0.00"
04:15,28.30,26.51,0.00,0.00,3.00,0.00,0.00,"0.00"
04:30,28.30,26.30,0.00,0.00,3.00,0.00,0.00,"0.00"
04:45,28.30,26.26,0.00,0.00,3.80,0.00,0.00,"0.00"
05:00,28.21,26.20,0.00,0.00,4.77,0.00,0.00,"0.00"
05:15,28.05,26.20,0.00,0.00,4.67,0.00,0.00,"0.00"
05:30,27.68,26.20,0.00,0.00,66.37,0.00,0.00,"0.00"
05:45,27.60,26.20,0.00,0.00,303.20,0.00,0.00,"0.00"
06:00,27.60,26.20,0.00,0.00,387.97,0.01,0.01,"0.00"
06:15,27.85,26.20,0.00,0.80,452.53,0.04,0.06,"0.00"
06:30,28.10,26.20,0.20,3.60,476.53,0.13,0.07,"0.00"
06:45,28.15,26.21,1.73,8.07,453.67,0.25,0.12,"0.00"
07:00,28.62,26.77,3.87,16.20,514.23,0.39,0.22,"0.00"
07:15,29.49,26.99,6.27,25.73,546.80,0.88,0.55,"0.00"
07:30,29.97,27.33,7.93,34.47,555.07,1.09,0.70,"0.00"
07:45,30.30,27.43,7.00,41.93,556.10,1.39,0.83,"0.16"
08:00,30.67,28.03,7.67,51.73,568.93,1.69,1.03,"0.40"
08:15,30.96,28.43,8.27,45.73,562.37,1.62,0.97,"0.63"
08:30,31.04,28.77,12.40,45.87,550.77,1.74,1.01,"0.87"
08:45,32.21,29.79,13.87,77.27,569.57,2.77,1.63,"1.22"
09:00,33.44,30.11,33.40,94.80,573.30,3.51,2.07,"1.66"
09:15,34.62,30.58,77.20,99.07,572.40,3.83,2.25,"2.14"
09:30,35.75,31.73,82.73,89.07,562.53,3.44,1.99,"2.58"
09:45,35.53,32.35,23.33,79.20,567.53,3.16,1.87,"2.98"
10:00,35.20,32.45,15.27,73.67,562.13,3.10,1.85,"3.38"
10:15,35.20,32.83,15.00,71.53,560.40,3.10,1.86,"3.77"
10:30,35.62,33.28,16.00,69.80,560.23,3.10,1.85,"4.17"
10:45,35.85,33.44,17.80,69.40,558.63,3.10,1.84,"4.56"
11:00,35.80,33.37,55.93,71.40,561.20,3.13,1.86,"4.96"
11:15,35.74,33.83,754.53,81.80,561.87,3.37,1.92,"5.37"
11:30,35.90,34.69,844.53,103.93,568.53,3.71,2.18,"5.83"
11:45,36.69,34.78,888.07,132.13,570.13,5.17,3.03,"6.50"
12:00,38.65,35.23,979.31,187.62,573.54,7.71,4.47,"7.51"
12:15,40.59,35.87,924.33,242.20,561.40,10.11,5.73,"8.82"
12:30,42.30,36.67,904.40,299.93,560.20,12.55,7.10,"10.47"
12:45,44.59,37.35,896.00,357.93,567.27,14.29,8.15,"12.38"
13:00,48.02,37.98,900.07,418.53,561.77,16.63,9.39,"14.59"
13:15,49.33,37.83,898.73,476.80,553.13,19.03,10.56,"17.10"
13:30,51.71,38.48,897.13,534.60,528.73,22.25,11.81,"19.90"
13:45,54.75,39.08,888.53,599.53,518.87,25.79,13.43,"23.09"
14:00,55.42,40.17,863.53,657.33,525.37,28.04,14.77,"26.60"
14:15,58.69,40.08,765.60,648.67,528.70,24.27,13.00,"29.91"
14:30,60.73,41.24,813.80,744.07,528.67,29.27,15.64,"33.66"
14:45,59.05,39.77,435.40,418.27,527.53,16.85,9.03,"35.89"
15:00,60.89,40.88,647.47,707.67,532.60,27.96,15.02,"39.47"
15:15,60.66,40.54,567.87,688.47,529.60,27.41,14.68,"42.63"
15:30,61.11,39.57,635.07,860.27,537.80,33.79,18.23,"47.01"
15:45,62.49,40.60,584.87,857.87,531.63,33.61,17.93,"51.31"
16:00,65.98,42.65,535.13,864.60,519.40,33.81,17.62,"55.53"
16:15,66.40,42.45,483.87,861.80,516.47,33.68,17.47,"59.71"
16:30,68.47,42.47,435.33,858.67,509.67,32.89,16.83,"63.75"
16:45,87.73,42.73,382.07,832.27,444.07,31.18,13.90,"67.06"
17:00,69.44,42.62,237.67,573.33,364.97,28.28,10.39,"69.50"
17:15,58.50,39.32,61.93,146.27,281.60,25.18,7.15,"71.14"
17:30,49.96,38.10,16.87,37.60,208.63,17.51,3.73,"71.97"
17:45,45.65,37.11,15.47,34.53,421.80,1.62,0.58,"72.15"
18:00,46.39,36.59,86.93,340.33,535.40,1.07,0.66,"72.35"
18:15,42.86,34.97,27.60,116.33,524.60,0.88,0.53,"72.54"
18:30,39.53,33.30,5.07,15.07,492.70,0.29,0.17,"72.59"
18:45,36.83,32.26,0.73,3.93,502.47,0.09,0.04,"72.59"
19:00,35.25,31.51,0.00,0.00,501.17,0.00,0.00,"72.59"
19:15,34.23,30.63,0.00,0.00,344.77,0.00,0.00,"72.59"
19:30,33.78,30.43,0.00,0.00,105.50,0.00,0.00,"72.59"
19:45,33.21,30.30,0.00,0.00,26.27,0.00,0.00,"72.59"
20:00,33.06,30.30,0.00,0.00,20.07,0.00,0.00,"72.59"
20:15,32.71,30.14,0.00,0.00,20.27,0.00,0.00,"72.59"
20:30,32.50,29.69,0.00,0.00,20.33,0.00,0.00,"72.59"
20:45,32.38,29.37,0.00,0.00,20.70,0.00,0.00,"72.59"
21:00,32.23,29.35,0.00,0.00,18.80,0.00,0.00,"72.59"
21:15,31.43,29.23,0.00,0.00,18.53,0.00,0.00,"72.59"
21:30,31.28,28.92,0.00,0.00,17.97,0.00,0.00,"72.59"
21:45,31.11,28.90,0.00,0.00,15.33,0.00,0.00,"72.59"
22:00,31.10,28.90,0.00,0.00,15.00,0.00,0.00,"72.59"
22:15,31.10,28.90,0.00,0.00,15.03,0.00,0.00,"72.59"
22:30,31.10,28.90,0.00,0.00,10.30,0.00,0.00,"72.59"
22:45,30.87,28.90,0.00,0.00,6.00,0.00,0.00,"72.59"
23:00,30.47,28.84,0.00,0.00,5.63,0.00,0.00,"72.59"
23:15,30.30,28.65,0.00,0.00,4.40,0.00,0.00,"72.59"
23:30,29.81,28.27,0.00,0.00,4.00,0.00,0.00,"72.59"
23:45,29.60,27.89,0.00,0.00,4.00,0.00,0.00,"72.59"
