시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,31.10,30.25,0.00,0.00,3.27,0.00,0.00,"0.00"
00:15,31.10,29.96,0.00,0.00,3.00,0.00,0.00,"0.00"
00:30,30.97,29.74,0.00,0.00,3.00,0.00,0.00,"0.00"
00:45,30.61,29.55,0.00,0.00,3.00,0.00,0.00,"0.00"
01:00,30.41,29.55,0.00,0.00,3.83,0.00,0.00,"0.00"
01:15,30.37,29.50,0.00,0.00,3.47,0.00,0.00,"0.00"
01:30,30.27,29.41,0.00,0.00,3.00,0.00,0.00,"0.00"
01:45,30.11,29.09,0.00,0.00,3.00,0.00,0.00,"0.00"
02:00,29.78,28.96,0.00,0.00,3.00,0.00,0.00,"0.00"
02:15,29.70,28.92,0.00,0.00,3.00,0.00,0.00,"0.00"
02:30,29.70,28.90,0.00,0.00,3.00,0.00,0.00,"0.00"
02:45,29.70,28.90,0.00,0.00,3.00,0.00,0.00,"0.00"
03:00,29.70,28.90,0.00,0.00,3.00,0.00,0.00,"0.00"
03:15,29.70,28.90,0.00,0.00,4.23,0.00,0.00,"0.00"
03:30,29.70,28.90,0.00,0.00,3.53,0.00,0.00,"0.00"
03:45,29.70,28.90,0.00,0.00,3.23,0.00,0.00,"0.00"
04:00,29.70,28.80,0.00,0.00,3.00,0.00,0.00,"0.00"
04:15,29.59,28.71,0.00,0.00,3.13,0.00,0.00,"0.00"
04:30,29.48,28.63,0.00,0.00,3.00,0.00,0.00,"0.00"
04:45,29.37,28.53,0.00,0.00,3.07,0.00,0.00,"0.00"
05:00,29.16,28.31,0.00,0.00,6.73,0.00,0.00,"0.00"
05:15,29.02,28.27,0.00,0.00,108.70,0.00,0.00,"0.00"
05:30,29.00,28.30,0.00,0.00,280.50,0.00,0.00,"0.00"
05:45,29.07,28.33,0.00,0.00,386.93,0.02,0.02,"0.00"
06:00,29.49,28.71,3.13,1.40,434.93,0.14,0.08,"0.00"
06:15,29.50,28.80,6.80,5.00,495.13,0.15,0.07,"0.00"
06:30,29.70,28.80,14.47,11.67,471.63,0.33,0.15,"0.00"
06:45,29.95,28.80,21.00,16.60,536.00,0.62,0.42,"0.00"
07:00,30.16,29.03,26.40,22.27,546.73,0.97,0.59,"0.00"
07:15,30.55,29.25,35.93,30.80,551.93,1.25,0.75,"0.09"
07:30,30.90,29.59,42.93,37.33,557.93,1.46,0.89,"0.31"
07:45,31.23,30.24,56.47,50.60,561.27,1.97,1.17,"0.57"
08:00,32.15,30.55,51.47,50.53,558.60,2.00,1.16,"0.83"
08:15,32.32,30.57,47.93,57.40,558.20,2.18,1.27,"1.11"
08:30,33.13,30.89,58.20,85.00,567.53,3.02,1.77,"1.48"
08:45,33.98,31.69,62.53,90.47,562.53,3.28,1.91,"1.89"
09:00,34.93,32.15,60.80,96.80,569.67,3.53,2.06,"2.33"
09:15,35.24,32.54,85.07,89.60,564.80,3.47,2.01,"2.75"
09:30,35.57,32.73,101.67,102.80,568.47,3.93,2.30,"3.24"
09:45,36.43,33.11,132.33,104.13,565.53,4.08,2.36,"3.75"
10:00,36.86,33.24,131.73,96.53,563.30,3.83,2.21,"4.22"
10:15,37.28,34.30,159.33,130.40,570.63,5.08,2.97,"4.87"
10:30,37.79,35.12,160.13,120.67,569.27,4.67,2.72,"5.46"
10:45,38.64,35.68,174.27,143.27,569.27,5.48,3.20,"6.18"
11:00,38.88,35.97,184.40,145.13,569.80,5.58,3.25,"6.88"
11:15,40.37,36.41,288.93,190.80,568.73,7.43,4.29,"7.85"
11:30,41.13,36.51,397.13,165.07,569.03,6.28,3.63,"8.66"
11:45,40.80,36.57,408.73,175.13,565.00,6.71,3.85,"9.53"
12:00,41.50,37.25,178.62,119.77,558.38,4.61,2.63,"10.10"
12:15,40.83,36.52,236.20,131.40,560.97,5.01,2.87,"10.71"
12:30,41.51,36.52,567.80,248.27,572.93,9.37,5.39,"11.99"
12:45,44.67,37.87,606.27,289.47,562.70,11.51,6.51,"13.49"
13:00,47.33,38.26,794.67,380.20,569.60,14.97,8.54,"15.61"
13:15,48.89,38.10,454.47,260.20,551.33,10.40,5.84,"17.01"
13:30,47.56,38.11,450.47,263.60,543.60,11.01,6.03,"18.39"
13:45,44.39,38.10,204.67,131.47,550.27,5.13,2.86,"19.05"
14:00,42.51,38.10,216.40,157.47,561.60,5.99,3.43,"19.81"
14:15,43.90,38.10,208.87,162.40,557.60,6.08,3.47,"20.58"
14:30,42.20,37.69,187.13,153.80,559.73,5.81,3.31,"21.30"
14:45,44.26,37.88,305.00,261.53,565.93,9.95,5.69,"22.63"
15:00,47.71,38.01,286.53,270.20,559.20,10.15,5.76,"23.92"
15:15,49.77,38.11,368.40,331.20,561.63,12.84,7.30,"25.65"
15:30,48.11,38.10,231.53,199.20,557.07,7.58,4.28,"26.62"
15:45,45.60,38.10,207.93,179.67,556.27,6.77,3.82,"27.46"
16:00,44.53,37.77,160.40,130.20,554.93,4.88,2.77,"28.07"
